ID,ROUTE,DIRECTION,DAYPART,SCH_STOPPOINT_SEQNO
500109,1R,SOUTHBOUND,MIDDAY,7
500361,1R,NORTHBOUND,MIDDAY,1
500602,1R,SOUTHBOUND,AM PEAK,21
500763,1R,SOUTHBOUND,MIDDAY,9
500866,1R,NORTHBOUND,MIDDAY,2
500868,1R,NORTHBOUND,MIDDAY,1
501363,1R,NORTHBOUND,PM PEAK,2
501399,1R,SOUTHBOUND,MIDDAY,2
501782,1R,NORTHBOUND,MIDDAY,1
501823,1R,SOUTHBOUND,AM PEAK,17
503928,1R,SOUTHBOUND,PM PEAK,3
504501,1R,NORTHBOUND,MIDDAY,
504502,1R,NORTHBOUND,MIDDAY,8
504503,1R,NORTHBOUND,MIDDAY,
504504,1R,NORTHBOUND,MIDDAY,3
504505,1R,NORTHBOUND,MIDDAY,
504506,1R,NORTHBOUND,MIDDAY,4
504507,1R,NORTHBOUND,MIDDAY,
504508,1R,NORTHBOUND,MIDDAY,
504509,1R,NORTHBOUND,MIDDAY,2
504510,1R,NORTHBOUND,MIDDAY,2
504511,1R,NORTHBOUND,MIDDAY,
504512,1R,NORTHBOUND,MIDDAY,30
504513,1R,NORTHBOUND,MIDDAY,9
504514,1R,NORTHBOUND,MIDDAY,
504515,1R,NORTHBOUND,MIDDAY,
504516,1R,NORTHBOUND,MIDDAY,
504517,1R,NORTHBOUND,MIDDAY,
504518,1R,NORTHBOUND,MIDDAY,20
504519,1R,NORTHBOUND,MIDDAY,
504520,1R,NORTHBOUND,MIDDAY,6
504521,1R,NORTHBOUND,MIDDAY,8
504522,1R,NORTHBOUND,MIDDAY,24
504523,1R,NORTHBOUND,MIDDAY,9
504524,1R,NORTHBOUND,MIDDAY,9
504525,1R,NORTHBOUND,MIDDAY,
504314,1R,NORTHBOUND,MIDDAY,1
504315,1R,NORTHBOUND,MIDDAY,
504316,1R,NORTHBOUND,MIDDAY,
504317,1R,NORTHBOUND,MIDDAY,
504318,1R,NORTHBOUND,MIDDAY,
504320,1R,NORTHBOUND,MIDDAY,
504322,1R,NORTHBOUND,MIDDAY,
504323,1R,NORTHBOUND,MIDDAY,12
504324,1R,NORTHBOUND,MIDDAY,12
504325,1R,NORTHBOUND,MIDDAY,
504816,1R,NORTHBOUND,AM PEAK,29
504833,1R,NORTHBOUND,MIDDAY,1
504834,1R,NORTHBOUND,MIDDAY,1
504835,1R,NORTHBOUND,MIDDAY,12
504836,1R,NORTHBOUND,MIDDAY,30
504837,1R,NORTHBOUND,MIDDAY,11
504838,1R,NORTHBOUND,MIDDAY,11
504839,1R,NORTHBOUND,MIDDAY,14
504840,1R,NORTHBOUND,MIDDAY,14
504841,1R,NORTHBOUND,MIDDAY,15
504842,1R,NORTHBOUND,MIDDAY,15
504843,1R,NORTHBOUND,MIDDAY,26
504844,1R,NORTHBOUND,MIDDAY,30
504845,1R,NORTHBOUND,MIDDAY,35
504846,1R,SOUTHBOUND,PM PEAK,10
504847,1R,SOUTHBOUND,PM PEAK,10
504848,1R,SOUTHBOUND,PM PEAK,10
504849,1R,SOUTHBOUND,PM PEAK,10
504850,1R,SOUTHBOUND,PM PEAK,10
504851,1R,NORTHBOUND,MIDDAY,36
504854,1R,NORTHBOUND,MIDDAY,37
504855,1R,SOUTHBOUND,MIDDAY,1
504857,1R,SOUTHBOUND,MIDDAY,2
504858,1R,SOUTHBOUND,MIDDAY,
504859,1R,SOUTHBOUND,MIDDAY,3
504860,1R,SOUTHBOUND,MIDDAY,
504861,1R,SOUTHBOUND,MIDDAY,
504862,1R,SOUTHBOUND,MIDDAY,
504863,1R,SOUTHBOUND,MIDDAY,12
504802,1R,NORTHBOUND,AM PEAK,9
504864,1R,SOUTHBOUND,MIDDAY,12
504865,1R,SOUTHBOUND,MIDDAY,8
504866,1R,SOUTHBOUND,MIDDAY,9
504867,1R,SOUTHBOUND,MIDDAY,13
504868,1R,SOUTHBOUND,MIDDAY,9
504869,1R,SOUTHBOUND,MIDDAY,
504870,1R,SOUTHBOUND,MIDDAY,8
504871,1R,SOUTHBOUND,MIDDAY,25
504872,1R,SOUTHBOUND,MIDDAY,12
504873,1R,SOUTHBOUND,MIDDAY,17
504874,1R,SOUTHBOUND,MIDDAY,18
504875,1R,SOUTHBOUND,MIDDAY,12
504951,1R,SOUTHBOUND,PM PEAK,1
504952,1R,SOUTHBOUND,PM PEAK,4
504953,1R,SOUTHBOUND,PM PEAK,4
504954,1R,SOUTHBOUND,PM PEAK,8
504955,1R,SOUTHBOUND,PM PEAK,16
504956,1R,SOUTHBOUND,PM PEAK,8
504957,1R,SOUTHBOUND,PM PEAK,5
504958,1R,SOUTHBOUND,PM PEAK,8
504959,1R,SOUTHBOUND,PM PEAK,9
504960,1R,SOUTHBOUND,PM PEAK,9
504961,1R,SOUTHBOUND,PM PEAK,9
504962,1R,SOUTHBOUND,PM PEAK,10
504963,1R,SOUTHBOUND,PM PEAK,10
504964,1R,SOUTHBOUND,PM PEAK,10
504965,1R,SOUTHBOUND,PM PEAK,10
504966,1R,SOUTHBOUND,PM PEAK,10
504967,1R,SOUTHBOUND,PM PEAK,11
504968,1R,SOUTHBOUND,PM PEAK,11
504969,1R,SOUTHBOUND,PM PEAK,17
504970,1R,SOUTHBOUND,PM PEAK,15
504971,1R,SOUTHBOUND,PM PEAK,18
504972,1R,SOUTHBOUND,PM PEAK,17
504973,1R,SOUTHBOUND,PM PEAK,17
504974,1R,SOUTHBOUND,PM PEAK,17
504975,1R,SOUTHBOUND,PM PEAK,
504976,1R,NORTHBOUND,PM PEAK,1
504977,1R,NORTHBOUND,PM PEAK,1
504978,1R,NORTHBOUND,PM PEAK,16
504979,1R,NORTHBOUND,PM PEAK,1
504980,1R,NORTHBOUND,PM PEAK,1
504981,1R,NORTHBOUND,PM PEAK,1
504982,1R,NORTHBOUND,PM PEAK,3
504984,1R,NORTHBOUND,PM PEAK,3
504985,1R,NORTHBOUND,PM PEAK,3
504986,1R,NORTHBOUND,PM PEAK,6
504987,1R,NORTHBOUND,PM PEAK,6
504988,1R,NORTHBOUND,PM PEAK,6
504989,1R,NORTHBOUND,PM PEAK,8
504990,1R,NORTHBOUND,PM PEAK,10
504991,1R,NORTHBOUND,PM PEAK,22
