"operator","route","survey_name","survey_year","weekpart","first_after","first_before","intercept","second_after","second_before","third_after","third_before","survey_boardings"
"BART","Hayward Balboa Park","BART",2015,"WEEKDAY",0,0,30.292936711,0,0,0,0,37.197967602
"BART","Hayward Bay Fair","BART",2015,"WEEKDAY",0,0,166.9253385545,0,0,0,0,183.220966734
"BART","Hayward Castro Valley","BART",2015,"WEEKDAY",0,0,27.604807535,0,0,0,0,27.604807535
"BART","Hayward Civic Center/UN Plaza","BART",2015,"WEEKDAY",0,0,268.902323063333,0,0,0,0,288.787680076
"BART","Hayward Coliseum","BART",2015,"WEEKDAY",0,0,175.126113666167,0,0,0,0,241.744836857
"BART","Hayward Colma","BART",2015,"WEEKDAY",0,0,6.372133046,0,0,0,0,8.488408396
"BART","Hayward Concord","BART",2015,"WEEKDAY",0,0,24.9950065215,0,0,0,0,31.800067042
"BART","Hayward Daly City","BART",2015,"WEEKDAY",0,0,45.0117840948333,0,0,0,0,64.201454609
"BART","Hayward Downtown Berkeley","BART",2015,"WEEKDAY",0,0,156.129598631667,0,0,0,0,167.209059622
"BART","Hayward Dublin/Pleasanton","BART",2015,"WEEKDAY",0,0,65.4483789693333,0,0,0,0,79.542120205
"BART","Hayward El Cerrito del Norte","BART",2015,"WEEKDAY",0,0,56.747721517,0,0,0,0,84.380652834
"BART","Hayward El Cerrito Plaza","BART",2015,"WEEKDAY",0,0,20.3609927935,0,0,0,0,28.290033256
"BART","Hayward Embarcadero","BART",2015,"WEEKDAY",0,0,589.005904200833,0,0,0,0,657.858642824
"BART","Hayward Fremont","BART",2015,"WEEKDAY",0,0,325.504866151167,0,0,0,0,429.272936661
"BART","Hayward Fruitvale","BART",2015,"WEEKDAY",0,0,240.749168980833,0,0,0,0,263.686044048
"BART","Hayward Glen Park","BART",2015,"WEEKDAY",0,0,23.682239906,0,0,0,0,26.737787245
"BART","Hayward Lafayette","BART",2015,"WEEKDAY",0,0,8.495400496,0,0,0,0,9.243555108
"BART","Hayward Lake Merritt","BART",2015,"WEEKDAY",0,0,183.378988169,0,0,0,0,192.688269006
"BART","Hayward MacArthur","BART",2015,"WEEKDAY",0,0,107.532544052,0,0,0,0,138.065990285
