info_type,generic_variable,variable_type,data_type,valid_values_for_categoric_variables,other_requirements
demographic,workers,categoric,string,three,
demographic,workers,categoric,string,four,
demographic,workers,categoric,string,five,
demographic,workers,categoric,string,six or more,
demographic,workers,categoric,string,missing,
demographic,vehicles,categoric,string,zero,
demographic,vehicles,categoric,string,one,
demographic,vehicles,categoric,string,two,
demographic,vehicles,categoric,string,three,
demographic,vehicles,categoric,string,four or more,
demographic,vehicles,categoric,string,missing,
demographic,household_income,categoric,string,"under $10,000",
demographic,household_income,categoric,string,"$10,000 to $25,000",
demographic,household_income,categoric,string,"$25,000 to $35,000",
demographic,household_income,categoric,string,"$35,000 to $50,000",
demographic,household_income,categoric,string,"$50,000 to $75,000",
demographic,household_income,categoric,string,"$75,000 to $100,000",
demographic,household_income,categoric,string,"$100,000 to $150,000",
demographic,household_income,categoric,string,"$150,000 or higher",
demographic,household_income,categoric,string,missing,
demographic,language_at_home_binary,categoric,string,ENGLISH ONLY,
demographic,language_at_home_binary,categoric,string,OTHER,
demographic,language_at_home_detail,non-categorical,string,,
demographic,eng_proficient,categoric,string,VERY WELL,
demographic,eng_proficient,categoric,string,WELL,
demographic,eng_proficient,categoric,string,NOT WELL,
demographic,eng_proficient,categoric,string,NOT AT ALL,
demographic,eng_proficient,categoric,string,missing,
demographic,weight,numerical,float,,
