survey,survey_year,survey_name,canonical_name,canonical_operator,technology
FAST,2017,1,FAIRFIELD-SUISUN___1 Fairfield Transit Center Walmart,FAIRFIELD-SUISUN,local bus
FAST,2017,2,FAIRFIELD-SUISUN___2 To Travis AFB,FAIRFIELD-SUISUN,local bus
FAST,2017,3,FAIRFIELD-SUISUN___3 Outer Fairfield,FAIRFIELD-SUISUN,local bus
FAST,2017,4,FAIRFIELD-SUISUN___4,FAIRFIELD-SUISUN,local bus
FAST,2017,5,FAIRFIELD-SUISUN___5 Suisun City West,FAIRFIELD-SUISUN,local bus
FAST,2017,6,FAIRFIELD-SUISUN___6,FAIRFIELD-SUISUN,local bus
FAST,2017,7,FAIRFIELD-SUISUN___7,FAIRFIELD-SUISUN,local bus
FAST,2017,8,FAIRFIELD-SUISUN___8,FAIRFIELD-SUISUN,local bus
FAST,2017,9,FAIRFIELD-SUISUN___9,FAIRFIELD-SUISUN,local bus
FAST,2017,20,FAIRFIELD-SUISUN___20 Fairfield Vacaville,FAIRFIELD-SUISUN,local bus
FAST,2017,30,FAIRFIELD-SUISUN___30 Fairfield Davis Sacramento,FAIRFIELD-SUISUN,local bus
FAST,2017,40,FAIRFIELD-SUISUN___40 Vacaville Walnut Creek BART,FAIRFIELD-SUISUN,local bus
FAST,2017,90,FAIRFIELD-SUISUN___90 Fairfield El Cerrito Del Norte BART,FAIRFIELD-SUISUN,local bus
Golden Gate Transit,2018,Baseball Ferry [To AT&T Park],GOLDEN GATE FERRY___Larkspur Ferry,GOLDEN GATE FERRY,ferry
Golden Gate Transit,2018,Baseball Ferry [To Larkspur],GOLDEN GATE FERRY___Larkspur Ferry,GOLDEN GATE FERRY,ferry
Golden Gate Transit,2018,Larkspur - San Francisco Ferry [To Larkspur],GOLDEN GATE FERRY___Larkspur Ferry,GOLDEN GATE FERRY,ferry
Golden Gate Transit,2018,Larkspur - San Francisco Ferry [To San Francisco],GOLDEN GATE FERRY___Larkspur Ferry,GOLDEN GATE FERRY,ferry
Golden Gate Transit,2018,ROUTE 101 - Santa Rosa - San Francisco [To San Francisco],GOLDEN GATE TRANSIT___101 Santa Rosa San Francisco,GOLDEN GATE TRANSIT,express bus
Golden Gate Transit,2018,ROUTE 101 - Santa Rosa - San Francisco [To Santa Rosa],GOLDEN GATE TRANSIT___101 Santa Rosa San Francisco,GOLDEN GATE TRANSIT,express bus
Golden Gate Transit,2018,ROUTE 101X - Santa Rosa - San Francisco [To San Francisco],GOLDEN GATE TRANSIT___101X Santa Rosa San Francisco,GOLDEN GATE TRANSIT,express bus
Golden Gate Transit,2018,ROUTE 101X - Santa Rosa - San Francisco [To Santa Rosa],GOLDEN GATE TRANSIT___101X Santa Rosa San Francisco,GOLDEN GATE TRANSIT,express bus
Golden Gate Transit,2018,ROUTE 18 - College of Marin - San Francisco [To College of Marin],GOLDEN GATE TRANSIT___18 College of Marin San Francisco,GOLDEN GATE TRANSIT,express bus
Golden Gate Transit,2018,ROUTE 18 - College of Marin - San Francisco [To San Francisco],GOLDEN GATE TRANSIT___18 College of Marin San Francisco,GOLDEN GATE TRANSIT,express bus
Golden Gate Transit,2018,ROUTE 2 - Marin City - San Francisco [To Marin City],GOLDEN GATE TRANSIT___2 Marin Headlands,GOLDEN GATE TRANSIT,express bus
Golden Gate Transit,2018,ROUTE 2 - Marin City - San Francisco [To San Francisco],GOLDEN GATE TRANSIT___2 Marin Headlands,GOLDEN GATE TRANSIT,express bus
Golden Gate Transit,2018,ROUTE 24 - Fairfax/Manor - San Francisco [To Fairfax/Manor],GOLDEN GATE TRANSIT___24 Manor Fairfax San Francisco,GOLDEN GATE TRANSIT,express bus
Golden Gate Transit,2018,ROUTE 24 - Fairfax/Manor - San Francisco [To San Francisco],GOLDEN GATE TRANSIT___24 Manor Fairfax San Francisco,GOLDEN GATE TRANSIT,express bus
Golden Gate Transit,2018,ROUTE 24X - Fairfax/Manor - San Francisco [To Fairfax/Manor],GOLDEN GATE TRANSIT___24X Manor Fairfax San Francisco,GOLDEN GATE TRANSIT,express bus
Golden Gate Transit,2018,ROUTE 24X - Fairfax/Manor - San Francisco [To San Francisco],GOLDEN GATE TRANSIT___24X Manor Fairfax San Francisco,GOLDEN GATE TRANSIT,express bus
Golden Gate Transit,2018,ROUTE 25 - Fairfax/Manor - Larkspur Ferry Terminal [To Fairfax/Manor],GOLDEN GATE TRANSIT___25 Manor Fairfax Larkspur,GOLDEN GATE TRANSIT,express bus
Golden Gate Transit,2018,ROUTE 25 - Fairfax/Manor - Larkspur Ferry Terminal [To Larkspur Ferry Terminal],GOLDEN GATE TRANSIT___25 Manor Fairfax Larkspur,GOLDEN GATE TRANSIT,express bus
Golden Gate Transit,2018,ROUTE 27 - San Anselmo -San Rafael - San Francisco [To San Francisco],GOLDEN GATE TRANSIT___27 San Anselmo San Francisco,GOLDEN GATE TRANSIT,express bus
Golden Gate Transit,2018,ROUTE 27 - San Anselmo -San Rafael - San Francisco [To San Rafael],GOLDEN GATE TRANSIT___27 San Anselmo San Francisco,GOLDEN GATE TRANSIT,express bus
