category,note
01 Geocoded Location Data,"Workplace and school locations were not surveyed"
01 Geocoded Location Data,"First transit boarding and last transit alighting locations were not surveyed"
01 Geocoded Location Data,"Home locations were surveyed via zipcode and are coded to the zipcode centroid"
01 Geocoded Location Data,"Trip origins and destinations sometimes only specified at city-level; these are coded to city centroids"
01 Geocoded Location Data,"Survey Board/Alight locations were surveyed but need to be geocoded"
03 Transit Transfers,"Transfer information was surveyed but needs to be recoded"
05 Time Leaving and Returning Home,Time leaving and returning home were not surveyed
09 Household Demographics,Household vehicle information was not surveyed
09 Household Demographics,Number of household workers was not surveyed
