category,note
01 Geocoded Location Data,"Workplace and school locations were not surveyed"
01 Geocoded Location Data,"First transit boarding and last transit alighting locations were not surveyed"
01 Geocoded Location Data,"Home locations were surveyed via zipcode and are coded to the zipcode centroid"
01 Geocoded Location Data,"Trip origins and destinations sometimes only specified at city-level; these are coded to city centroids"
02 Access and Egress Modes,Access or egress modes was not surveyed 
03 Transit Transfers,Transfer infomation was not surveyed
04 Origin and Destination Trip Purposes,Trip purpose was surveyed rather than origin or destination purpose
05 Time Leaving and Returning Home,Time leaving and returning home were not surveyed
07 Half Tour Questions for Work and School,Half-tour information was not surveyed
09 Household Demographics,Household vehicle information was not surveyed
