"survey","survey_year","survey_name","canonical_name","canonical_operator","technology"
"AC Transit",2018,"ROUTE 73 - Eastmont T.C./Oakland Airport [TO EASTMONT TRANSIT CENTER]","AC TRANSIT___73 Eastmont Transit Center to Oakland Airport","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 10 - San Leandro BART - Hayward BART [TO HAYWARD BART]","AC TRANSIT___10 San Leandro BART Hayward BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 10 - San Leandro BART - Hayward BART [TO SAN LEANDRO BART]","AC TRANSIT___10 San Leandro BART Hayward BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 20 - Fruitvale Ave/Alameda/11th M.L.K. Jr Wy [TO DIMOND DISTRICT]","AC TRANSIT___20 Dimond District Oakland to downtown Oakland","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 20 - Fruitvale Ave/Alameda/11th M.L.K. Jr Wy [TO DOWNTOWN OAKLAND]","AC TRANSIT___20 Dimond District Oakland to downtown Oakland","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE NL - San Francisco/Eastmont T.C. [TO SAN FRANCISCO]","AC TRANSIT___NL Eastmont Transit Center Oakland","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE NL - San Francisco/Eastmont T.C. [TO EASTMONT TC]","AC TRANSIT___NL Eastmont Transit Center Oakland","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE F - San Francisco - Berkeley [TO SAN FRANCISCO]","AC TRANSIT___F UC Campus Berkeley","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE F - San Francisco - Berkeley [TO BERKELEY]","AC TRANSIT___F UC Campus Berkeley","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE O - San Francisco/Alameda/Fruitvale Bart [TO FRUITVALE BART]","AC TRANSIT___O Park Ave & Encinal Ave Alameda","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE O - San Francisco/Alameda/Fruitvale Bart [TO SAN FRANCISCO]","AC TRANSIT___O Park Ave & Encinal Ave Alameda","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE DB1 - Dumbarton Express [TO P A INDUSTRIAL PARK]","AC TRANSIT___DB1 Dumbarton Express","AC TRANSIT","local bus"
