"","survey","survey_year","survey_name","canonical_name"
"28","AC Transit",2013,"AC Transit 21 - Fruitvale Ave/Alameda/Oakland Airport","AC TRANSIT---21 Dimond Dist. to Oakland Airport"
"29","AC Transit",2013,"AC Transit 29 - Emeryville/West Oakland BART/Lakeshore","EMERYVILLE MTA---29 Emeryville/West Oakland BART/Lakeshore"
"30","AC Transit",2013,"AC Transit 12 - Dtn. Oakland /Dtn. Berkeley/4th St. Harrison","AC TRANSIT---12 Berkeley BART to Downtown Oakland"
"31","AC Transit",2013,"AC Transit 74 - CCC/Richmond BART/Ford Pt.","AC TRANSIT---74 Marina Bay Richmond to San Pablo Dam Rd. El Sobrante"
"32","AC Transit",2013,"MUNI 38-Geary ","MUNI---38-Geary "
"33","AC Transit",2013,"AC Transit 62 - W. Oakland Bart/Fruitvale Bart","AC TRANSIT---62 West Oakland BART to Fruitvale BART"
"34","AC Transit",2013,"MUNI 30-Stockton ","MUNI---30-Stockton "
"35","AC Transit",2013,"AC Transit 54 - Fruitvale Bart/Merritt College","AC TRANSIT---54 Fruitvale BART to Merritt College"
"36","AC Transit",2013,"VTA 901 Light Rail","VTA---901 Light Rail"
"37","AC Transit",2013,"AC Transit 36 - West Oakland BART/Bancroft/Berkeley","AC TRANSIT---36 West Oakland BART/Bancroft/Berkeley"
"38","AC Transit",2013,"AC Transit 52 - U.C. Village - U.C. Campus","AC TRANSIT---52 University Village to UC Campus (Berkeley BART)."
"39","AC Transit",2013,"AC Transit 97 - Union City BART - Hesperian Blvd.","UNION CITY---97 Union City BART - Hesperian Blvd."
"40","AC Transit",2013,"AC Transit 90 - Coliseum Bart/85thAve/Foothill Sq","AC TRANSIT---90 Coliseum Bart/85thAve/Foothill Sq"
"41","AC Transit",2013,"AC Transit 32 - Hayward Bart-C.V. Bart-Hwd. Bart-Cherryland","AC TRANSIT---32 Hayward BART to Castro Valley BART"
"42","AC Transit",2013,"AC Transit 86 - Hayward BART - S. Hayward BART","AC TRANSIT---86 Hayward BART to South Hayward BART"
"43","AC Transit",2013,"AC Transit 212 - Fremont BART-Newpark Mall-Pacific Commons","AC TRANSIT---212 Fremont BART to NewPark Mall"
"44","AC Transit",2013,"AC Transit 79 - Rockridge/Berkeley/El Cerrito BART","AC TRANSIT---79 Rockridge/Berkeley/El Cerrito BART"
"45","AC Transit",2013,"MUNI 19-Polk ","MUNI---19-Polk "
"46","AC Transit",2013,"AC Transit 19 - Downtown Oakland - Fruitvale BART","AC TRANSIT---19 Downtown Oakland - Fruitvale BART"
"47","AC Transit",2013,"AC Transit 22 - Hayward Bart -South Hayward Bart - Chabot","AC TRANSIT---22 Hayward BART"
"48","AC Transit",2013,"AC Transit 96 - Fruitvale Montana/Alameda Point","AC TRANSIT---96 Fruitvale Montana/Alameda Point"
"49","AC Transit",2013,"Emery Go-Round Hollis","EMERYVILLE MTA---Go-Round Hollis"
"50","AC Transit",2013,"AC Transit 45 - Eastmont T. C./Foothill Sq.","AC TRANSIT---45 Eastmont Transit Center to Foothill Square Oakland"
