Survey,Survey_Variable,Survey_Response,Generic_Variable,Generic_Response
ETC,ACCESS_MODE_CODE,1,access_mode,walk
ETC,ACCESS_MODE_CODE,2,access_mode,bicycle
ETC,ACCESS_MODE_CODE,4,access_mode,motorcycle or scooter
ETC,ACCESS_MODE_CODE,5,access_mode,drove alone and parked
ETC,ACCESS_MODE_CODE,6,access_mode,rode with others and parked
ETC,ACCESS_MODE_CODE,7,access_mode,dropped off
ETC,ACCESS_MODE_CODE,8,access_mode,taxi
ETC,ACCESS_MODE_CODE,9,access_mode,shuttle
ETC,UNLINKED_WGHT_FCTR,NONCATEGORICAL,boarding_weight,NONCATEGORICAL
RED,Origin_Access_Mode,1,access_mode,walk
RED,Origin_Access_Mode,2,access_mode,bicycle
RED,Origin_Access_Mode,3,access_mode,drove alone and parked
RED,Origin_Access_Mode,4,access_mode,rode with others and parked
RED,Origin_Access_Mode,5,access_mode,dropped off
RED,Origin_Access_Mode,6,access_mode,taxi
RED,Origin_Access_Mode,7,access_mode,motorcycle or scooter
RED,Weight,NONCATEGORICAL,boarding_weight,NONCATEGORICAL
