"","survey","entry","base_name","operator"
"1","SFMTA","10-Townsend [ INBOUND ]","10-Townsend","MUNI"
"2","SFMTA","10-Townsend [ OUTBOUND ]","10-Townsend","MUNI"
"3","SFMTA","12-Folsom/Pacific [ INBOUND ]","12-Folsom/Pacific","MUNI"
"4","SFMTA","12-Folsom/Pacific [ OUTBOUND ]","12-Folsom/Pacific","MUNI"
"5","SFMTA","14-Mission [ INBOUND ]","14-Mission","MUNI"
"6","SFMTA","14-Mission [ OUTBOUND ]","14-Mission","MUNI"
"7","SFMTA","14R-Mission Rapid [ INBOUND ]","14R-Mission Rapid","MUNI"
"8","SFMTA","14R-Mission Rapid [ OUTBOUND ]","14R-Mission Rapid","MUNI"
"9","SFMTA","14X-Mission Express [ INBOUND ]","14X-Mission Express","MUNI"
"10","SFMTA","14X-Mission Express [ OUTBOUND ]","14X-Mission Express","MUNI"
"11","SFMTA","18-46th Avenue [ INBOUND ]","18-46th Avenue","MUNI"
"12","SFMTA","18-46th Avenue [ OUTBOUND ]","18-46th Avenue","MUNI"
"13","SFMTA","19-Polk [ INBOUND ]","19-Polk","MUNI"
"14","SFMTA","19-Polk [ OUTBOUND ]","19-Polk","MUNI"
"15","SFMTA","1AX-California A Express [ INBOUND ]","1AX-California A Express","MUNI"
"16","SFMTA","1AX-California A Express [ OUTBOUND ]","1AX-California A Express","MUNI"
"17","SFMTA","1BX-California B Express [ INBOUND ]","1BX-California B Express","MUNI"
"18","SFMTA","1BX-California B Express [ OUTBOUND ]","1BX-California B Express","MUNI"
"19","SFMTA","1-California [ INBOUND ]","1-California","MUNI"
"20","SFMTA","1-California [ OUTBOUND ]","1-California","MUNI"
"21","SFMTA","21-Hayes [ INBOUND ]","21-Hayes","MUNI"
"22","SFMTA","21-Hayes [ OUTBOUND ]","21-Hayes","MUNI"
"23","SFMTA","22-Fillmore [ INBOUND ]","22-Fillmore","MUNI"
"24","SFMTA","22-Fillmore [ OUTBOUND ]","22-Fillmore","MUNI"
"25","SFMTA","23-Monterey [ INBOUND ]","23-Monterey","MUNI"
"26","SFMTA","23-Monterey [ OUTBOUND ]","23-Monterey","MUNI"
"27","SFMTA","24-Divisadero [ INBOUND ]","24-Divisadero","MUNI"
"28","SFMTA","24-Divisadero [ OUTBOUND ]","24-Divisadero","MUNI"
"29","SFMTA","25-Treasure Island [ INBOUND ]","25-Treasure Island","MUNI"
"30","SFMTA","25-Treasure Island [ OUTBOUND ]","25-Treasure Island","MUNI"
"31","SFMTA","27-Bryant [ INBOUND ]","27-Bryant","MUNI"
"32","SFMTA","27-Bryant [ OUTBOUND ]","27-Bryant","MUNI"
"33","SFMTA","28-19th Avenue [ INBOUND ]","28-19th Avenue","MUNI"
"34","SFMTA","28-19th Avenue [ OUTBOUND ]","28-19th Avenue","MUNI"
"35","SFMTA","28R-19th Avenue Rapid [ INBOUND ]","28R-19th Avenue Rapid","MUNI"
"36","SFMTA","28R-19th Avenue Rapid [ OUTBOUND ]","28R-19th Avenue Rapid","MUNI"
"37","SFMTA","29-Sunset [ INBOUND ]","29-Sunset","MUNI"
"38","SFMTA","29-Sunset [ OUTBOUND ]","29-Sunset","MUNI"
"39","SFMTA","2-Clement [ INBOUND ]","2-Clement","MUNI"
"40","SFMTA","2-Clement [ OUTBOUND ]","2-Clement","MUNI"
"41","SFMTA","30-Stockton [ INBOUND ]","30-Stockton","MUNI"
"42","SFMTA","30-Stockton [ OUTBOUND ]","30-Stockton","MUNI"
"43","SFMTA","30X-Marina Express [ INBOUND ]","30X-Marina Express","MUNI"
"44","SFMTA","30X-Marina Express [ OUTBOUND ]","30X-Marina Express","MUNI"
"45","SFMTA","31AX-Balboa A Express [ INBOUND ]","31AX-Balboa A Express","MUNI"
"46","SFMTA","31AX-Balboa A Express [ OUTBOUND ]","31AX-Balboa A Express","MUNI"
"47","SFMTA","31-Balboa [ INBOUND ]","31-Balboa","MUNI"
