"","lat","lon"
"200",37.745693,-122.390715
"201",37.718588,-122.445787
"202",37.674215,-122.484852
"203",37.542104,-122.304339
"204",37.726064,-122.417927
"205",37.707979,-122.433631
"206",37.760969,-122.47941
"207",37.299024,-121.953379
"208",37.744634,-122.427338
"209",37.736216,-122.394672
"210",37.732728,-122.401529
"211",37.710599,-122.424652
"212",37.472452,-122.227759
"213",37.706924,-122.416225
"214",37.637888,-122.416363
"215",37.962594,-122.345387
"216",37.874264,-122.264687
"217",37.804742,-122.294968
"218",37.816218,-122.371511
"219",37.804536,-122.270686
"220",37.855946,-122.481807
"221",37.782463,-122.388651
"222",37.972816,-122.561523
"223",37.986109,-121.774886
"224",37.78585,-122.41198
"225",37.776797,-122.459954
"226",37.774917,-122.500471
"227",37.792505,-122.241447
"228",37.84493,-122.272414
"229",37.76056,-122.437342
"230",37.752888,-122.434181
"231",37.740817,-122.427475
"232",37.826374,-122.370498
"233",37.853052,-122.269716
"234",37.802779,-122.264398
"235",37.777324,-122.418034
"236",37.795357,-122.393979
"237",37.824364,-122.375585
"238",37.730484,-122.392159
"239",37.782076,-122.421987
"240",37.78136,-122.415502
"241",37.779769,-122.419516
"242",37.799004,-122.442845
"243",37.805371,-122.405733
"244",37.773979,-122.43085
"245",37.781395,-122.453932
"246",37.723971,-122.391593
"247",37.73956,-122.38731
"248",37.724955,-122.46139
"249",37.808493,-122.415868
"250",37.640012,-122.420547
"251",37.762685,-122.430772
"252",37.761383,-122.428195
"253",37.769081,-122.395332
"254",37.781425,-122.411771
"255",37.73502,-122.386587
"256",37.665942,-122.397487
"257",37.841681,-122.267522
"258",37.763364,-122.451953
"259",37.76652,-122.429602
"260",37.786642,-122.421517
"261",37.76575,-122.46871
"262",37.750947,-122.445298
"263",37.664677,-122.449363
"264",37.723961,-122.457047
"265",37.714015,-122.455984
"266",37.689906,-122.493032
"267",37.70716,-122.483815
"268",37.75206,-122.4764
"269",37.765859,-122.435193
"270",37.667924,-122.411709
"271",37.66485,-122.46887
"272",37.698893,-122.46567
"273",37.761232,-122.486763
"274",37.71331,-122.410173
"275",37.742929,-122.478161
"276",37.710359,-122.469458
"277",37.710555,-122.481583
"278",37.72833,-122.476014
"279",37.736806,-122.383712
"280",37.718544,-122.456338
"281",37.646232,-122.492282
"282",37.719197,-122.481067
"283",37.743124,-122.471308
"284",37.775237,-122.475777
"285",37.761699,-122.475942
"286",37.797153,-122.18455
"287",37.822745,-122.243465
"288",37.787103,-122.388014
"289",37.820468,-122.369118
"290",37.986763,-122.318057
"291",38.112748,-122.197871
"292",37.827116,-122.374851
"293",37.851333,-122.274129
"294",37.822133,-122.288673
"295",37.808484,-122.409663
"296",37.872008,-122.258606
"297",37.781773,-122.492937
"298",37.76422,-122.41028
"299",37.778851,-122.506428
"300",37.72874,-122.372671
"301",37.780887,-122.464392
"302",37.736436,-122.172712
"303",37.720332,-122.406132
"304",37.78485,-122.428162
"305",37.706474,-122.437049
"306",37.755314,-122.494843
"307",37.75564,-122.487344
"308",37.756543,-122.505871
"309",37.762295,-122.50601
"310",37.748785,-122.505278
"311",37.73911,-122.501957
"312",37.736108,-122.504141
"313",37.740964,-122.503614
"314",37.729916,-122.477726
"315",37.7246,-122.473376
"316",37.723343,-122.482613
"317",37.760847,-122.508845
"318",37.77323,-122.510066
"319",37.744836,-122.506193
"320",37.740289,-122.491151
"321",37.730113,-122.48604
"322",37.731859,-122.503464
"323",37.735115,-122.492106
"324",37.740297,-122.495941
"325",37.74768,-122.49952
"326",37.74634,-122.455497
"327",37.761297,-122.468028
"328",37.753259,-122.498996
"329",37.758924,-122.503134
"330",37.731663,-122.472746
"331",37.734806,-122.468057
"332",37.716541,-122.473824
"333",37.778337,-122.500734
"334",37.776015,-122.492973
"335",37.787922,-122.501668
"336",37.775398,-122.50434
"337",37.765177,-122.476483
"338",37.778426,-122.486218
"339",37.782683,-122.487557
"340",37.772255,-122.496626
"341",37.716,-122.496451
"342",37.77539,-122.468365
"343",37.753602,-122.491497
"344",37.764417,-122.497216
"345",37.684572,-122.466221
"346",37.773294,-122.157735
"347",37.728795,-122.367027
"348",37.730604,-122.376686
"349",37.753488,-122.197202
"350",37.975878,-122.023188
"351",37.865546,-122.276416
"352",37.813462,-122.297418
"353",37.744886,-122.397147
"354",37.77532,-122.451593
"355",37.773329,-122.443356
"356",37.761108,-122.435267
"357",37.775674,-122.446381
"358",37.786016,-122.473743
"359",37.775374,-122.185144
"360",37.790072,-122.416437
"361",37.771792,-122.438375
"362",37.802288,-122.428548
"363",37.783852,-122.484673
"364",37.784864,-122.464541
"365",37.78556,-122.477469
"366",37.784445,-122.467211
"367",37.780194,-122.479653
"368",37.781993,-122.470525
"369",37.786136,-122.449975
"370",37.786962,-122.457966
"371",37.787707,-122.441584
"372",37.780837,-122.461766
"373",37.780916,-122.458431
"374",37.788163,-122.447861
"375",37.787651,-122.428197
"376",37.785923,-122.436309
"377",37.84474,-122.25116
"378",37.911234,-122.308462
"379",37.794895,-122.44387
"380",37.770208,-122.450652
"381",37.790408,-122.450859
"382",37.782823,-122.438893
"383",37.799721,-122.459424
"384",37.782043,-122.4465
"385",37.852488,-122.482885
"386",37.80137,-122.450991
"387",37.730695,-122.459085
"388",37.741742,-122.49978
"389",37.792469,-122.480221
"390",37.760431,-122.493261
"391",37.747985,-122.489165
"392",37.774258,-122.473375
"393",37.769867,-122.466102
"394",37.782963,-122.442867
"395",37.765003,-122.456582
"396",37.774473,-122.483253
"397",37.759266,-122.485369
"398",37.77134,-122.45395
"399",37.762458,-122.491262
"400",37.774079,-122.17941
"401",37.928425,-122.055449
"402",37.965426,-122.011524
"403",37.793149,-122.267393
"404",37.7368,-122.256966
"405",37.688965,-122.149619
"406",37.785458,-122.222377
"407",37.770566,-122.237432
"408",37.797133,-122.265863
"409",37.971188,-122.522713
"410",37.788983,-122.41278
"411",37.931064,-121.702785
"412",37.887855,-122.292069
"413",37.808346,-122.287738
"414",37.893542,-122.052609
"415",37.88187,-122.270116
"416",37.834975,-122.208069
"417",37.664705,-122.084842
"418",37.935271,-122.343598
"419",37.834232,-122.26838
"420",37.86293,-122.290299
"421",37.86511,-122.267368
"422",37.798641,-122.208473
"423",37.77311,-122.270665
"424",37.873967,-122.283443
"425",37.805202,-122.274512
"426",38.015126,-122.025467
"427",37.804575,-122.415705
"428",37.867927,-122.023851
"429",38.018591,-121.94529
"430",37.80599,-122.298214
"431",37.698911,-122.161378
"432",37.777852,-122.439907
"433",37.879455,-122.281011
"434",37.808359,-122.268604
"435",37.833698,-122.49381
"436",37.691136,-122.078095
"437",37.807263,-122.246241
"438",37.806255,-122.262703
"439",37.76349,-122.46335
"440",37.975463,-122.028229
"441",37.712972,-122.21244
"442",37.77933,-122.42671
"443",37.768814,-122.44739
"444",37.776225,-122.424423
"445",37.775597,-122.455799
"446",37.75793,-122.443881
"447",38.347811,-122.683505
"448",38.100932,-122.258645
"449",37.973265,-122.529477
"450",37.979069,-121.718364
"451",37.801232,-122.411124
"452",37.588397,-122.036084
"453",37.835448,-122.250819
"454",37.302605,-121.921955
"455",37.774932,-122.234083
"456",37.777916,-122.446736
"457",37.719493,-122.469727
"458",37.728933,-122.387013
"459",37.8,-122.435838
"460",37.781482,-122.429966
"461",37.775007,-122.224569
"462",37.829901,-122.284882
"463",37.717616,-122.401074
"464",37.732647,-122.39472
"465",37.74533,-122.383744
"466",37.749367,-122.387352
"467",37.804783,-122.437355
"468",37.80758,-122.443829
"469",37.788601,-122.515401
"470",37.799389,-122.44751
"471",37.810398,-122.476632
"472",37.733236,-122.433915
"473",37.892317,-122.521133
"474",37.664705,-122.48118
"475",37.736736,-122.453794
"476",37.733998,-122.484405
"477",37.734407,-122.475106
"478",37.737727,-122.473973
"479",37.73592,-122.435868
"480",37.734947,-122.432327
"481",37.903166,-122.29939
"482",37.739226,-122.450529
"483",37.726907,-122.467192
"484",37.735939,-122.464099
"485",37.746546,-122.449488
"486",37.747221,-122.48168
"487",37.672821,-122.463848
"488",37.738478,-122.398659
"489",37.74817,-122.459192
