"","canonical_operator","canonical_name"
"1","AC Transit","11 Dimond District Oakland"
"2","AC Transit","18 University Village Albany to Montclair"
"3","AC Transit","20 Dimond District Oakland to downtown Oakland"
"4","AC Transit","26 Emery Bay Public Market to Lakeshore Ave."
"5","AC Transit","45 Eastmont Transit Center to Foothill Square Oakland"
"6","AC Transit","57 Emeryville to Foothill Square Oakland"
"7","AC Transit","72 Hilltop Mall to Oakland Amtrak"
"8","AC Transit","72M Point Richmond to Oakland Amtrak"
"9","AC Transit","72R San Pablo Rapid -- Contra Costa College to Jack London Square"
"10","AC Transit","73 Eastmont Transit Center to Oakland Airport"
"11","AC Transit","74 Marina Bay Richmond to San Pablo Dam Rd. El Sobrante"
"12","AC Transit","B Lakeshore Ave. Oakland"
"13","AC Transit","C Highland Ave. Piedmont"
"14","AC Transit","CB Warren Freeway and Broadway Terr. Oakland"
"15","AC Transit","E Caldecott Ln. Oakland"
"16","AC Transit","F UC Campus Berkeley"
"17","AC Transit","FS Solano Ave. Berkeley"
"18","AC Transit","G Richmond St. & Potrero St. El Cerrito"
"19","AC Transit","H Barrett Ave. & San Pablo Ave. El Cerrito"
"20","AC Transit","J Sacramento St. and University Ave. Berkeley"
"21","AC Transit","L San Pablo Dam Rd."
"22","AC Transit","LA Hilltop Dr. Park & Ride"
"23","AC Transit","NL Eastmont Transit Center Oakland"
"24","AC Transit","NX Seminary Ave. & MacArthur Blvd."
"25","AC Transit","NX1 Fruitvale Ave. & MacArthur Blvd."
"26","AC Transit","NX2 High St. & MacArthur Blvd."
"27","AC Transit","NX3 Marlow Dr. & Foothill Way Oakland"
"28","AC Transit","NX4 Castro Valley Park & Ride"
"29","AC Transit","O Park Ave. & Encinal Ave. Alameda"
"30","AC Transit","P Highland Ave. & Highland Way Piedmont"
"31","AC Transit","S Eden Shores Hayward"
"32","AC Transit","SB Cedar Blvd. & Stevenson Blvd. Newark"
"33","AC Transit","V Broadway and Broadway Terr. Oakland"
"34","AC Transit","W Broadway & Blanding Ave. Alameda"
"35","ACE","Stockton/San Jose"
"36","Alcatraz","Hornblower Ferry"
"37","Angel Island-Tiburon Ferry","Angel Island-Tiburon Ferry"
"38","Apple","Apple Shuttle"
"39","BART","1 Berkeley BART to Bay Fair BART"
"40","BART","12 Berkeley BART to Downtown Oakland"
"41","BART","14 Downtown Oakland to Fruitvale BART"
"42","BART","200 Union City BART Fremont BART"
"43","BART","212 Fremont BART to NewPark Mall"
"44","BART","217 Fremont BART to Great Mall"
"45","BART","22 Hayward BART"
"46","BART","239 Fremont BART to Warm Springs Blvd. & Dixon Landing Rd."
"47","BART","376 El Cerrito Del Norte BART to Richmond Parkway Transit Center"
"48","BART","386 Hayward BART to Sabre St. & Mack St. (AC Transit Hayward Division)"
"49","BART","40 Downtown Oakland to Bay Fair BART"
"50","BART","46 Coliseum BART to Oakland Zoo"
"51","BART","46L Coliseum BART - Mountain - Golf Links Rd - Dunkirk Ave"
"52","BART","47 Fruitvale BART to Maxwell Park"
"53","BART","48 Hayward BART to Bay Fair BART"
"54","BART","49 Rockridge BART to Berkeley BART"
"55","BART","51A Rockridge BART to Fruitvale BART"
"56","BART","51B Rockridge BART to Berkeley Amtrak"
"57","BART","54 Fruitvale BART to Merritt College"
"58","BART","60 Hayward BART to Cal State East Bay"
"59","BART","62 West Oakland BART to Fruitvale BART"
"60","BART","65 Berkeley BART to Lawrence Hall of Science"
"61","BART","7 El Cerrito del Norte BART"
"62","BART","70 Richmond BART to Richmond Pkwy. Transit Center"
"63","BART","75 San Leandro BART to Bay Fair BART"
"64","BART","76 El Cerrito del Norte BART to Hilltop Mall"
"65","BART","800 All Nighter. Richmond BART to Market St. and Van Ness Ave. S.F."
"66","BART","83 Hayward BART to South Hayward BART"
"67","BART","85 San Leandro BART to South Hayward BART"
"68","BART","851 All Nighter. Downtown Berkeley to Fruitvale BART"
"69","BART","88 BART Shuttle"
"72","BART","88 Berkeley BART to Lake Merritt BART"
"73","BART","89 San Leandro BART to Bay Fair BART"
"74","BART","97 Bay Fair BART to Union City BART"
"75","BART","98 Coliseum BART Edgewater Dr."
"76","BART","99 Bay Fair BART to Fremont BART"
"77","BART","BART"
"78","BART","Bart JR"
"79","BART","Brisbain Crocker Park Bart"
"80","Blue & Gold","Sausalito Ferry"
"81","Blue & Gold","Tiburon Ferry"
"82","Caltrain","81X Caltrain Express"
"84","Caltrain","Burlingame Trolley Shuttle (hotels to downtown Burlingame)"
"85","Caltrain","Caltrain"
"86","Caltrain","Caltrain Shuttle"
"87","Caltrain","Genentech Shuttle (Glen Park, others)"
"88","Capitol Corridor","Sacramento/San Jose"
"90","County Connection","10 BART Concord/Clayton"
"91","County Connection","11 BART Concord/BART Pleasant"
"92","County Connection","15 Treat Blvd"
"93","County Connection","17 BART Concord/North Concord"
"94","County Connection","1M Walnut Creek BART/Marchbanks"
"95","County Connection","2 Rudgear/BART Walnut Creek"
"96","County Connection","21 BART Walnut Creek/San Ramon"
"97","County Connection","25 BART Lafayette/BART Walnut Creek"
"98","County Connection","28 BART North Concord/Martinez"
"99","County Connection","35 BART Dublin/San Ramon"
"100","County Connection","36 San Ramon/BART Dublin"
"101","County Connection","5 Creekside/BART Walnut Creek"
"102","County Connection","627 BART North Concord/Mason Cir"
"103","County Connection","7 Shadelands/BART Pleasant Hill/BART Walnut Creek"
"104","County Connection","9 DVC/BART Walnut Creek"
"105","County Connection","Alamo Creek Shuttle"
"106","Emeryville MTA","Go-Round Hollis"
"107","Emeryville MTA","Go-Round Hollis South"
"108","Emeryville MTA","Go-Round Shellmound/Powell"
"109","Facebook","Facebook Shuttle (Ashby, MacArthur)"
"110","FAST","90 Fairfield - El Cerrito Del Norte BART"
"111","Golden Gate Transit","101 Santa Rosa - San Francisco"
"112","Golden Gate Transit","101X Santa Rosa - San Francisco"
"113","Golden Gate Transit","17 San Rafael - Sausalito"
"114","Golden Gate Transit","18 College of Marin - San Francisco"
"115","Golden Gate Transit","2 Marin Headlands"
"116","Golden Gate Transit","24 Manor - Fairfax - San Francisco"
"117","Golden Gate Transit","27 San Anselmo - San Francisco"
"118","Golden Gate Transit","29 San Rafael - Larkspur Landing - Fairfax - Manor"
"119","Golden Gate Transit","4 Mill Valley - San Francisco"
"120","Golden Gate Transit","54 San Marin - San Francisco"
"121","Golden Gate Transit","70 Novato - San Francisco"
"122","Golden Gate Transit","72 Santa Rosa - Rohnert Park - San Francisco"
"123","Golden Gate Transit","74 Santa Rosa - Cotati - San Francisco"
"124","Golden Gate Transit","92 Manzanita Park & Ride - San Francisco"
"125","Golden Gate Transit","97 Larkspur Ferry Terminal - San Francisco"
"126","Golden Gate Transit","Ferry Larkspur Ferry"
"127","Golden Gate Transit","Ferry Sausalito Ferry"
"128","Harbor Bay","Harbor Bay"
"129","Harbor Bay","Harbor Bay Shuttle (Coliseum)"
"130","LBL","LBL / Lawrence Berkeley Lab Shuttle (Downtown Berkeley, Rockridge)"
"131","Livermore Amadore Transit","10R"
"132","Livermore Amadore Transit","Transit"
"133","Marin Transit","228 College of Marin/Indian Valley Campus"
"134","Marin Transit","233 Santa Venetia Shuttle"
"135","Marin Transit","36"
"136","Missing","-"
"137","Missing","Missing - Dummy Record"
"138","Napa Vine","29 Commuter Express"
"139","PresidiGo","PresidiGo Shuttles (Embarcadero, GG Park area)"
"140","SamTrans","110 Linda Mar Daly City BART"
"141","SamTrans","112 Linda Mar Colma BART"
"142","SamTrans","120 Colma BART Daly City BART"
"143","SamTrans","121 Skyline College Daly City BART"
