"","canonical_operator","canonical_name"
"144","SamTrans","122 South San Francisco BART Stonestown"
"145","SamTrans","130 South San Francisco BART Daly City BART"
"146","SamTrans","131 Airport/Linden - Serramonte Center"
"147","SamTrans","140 Pacific Manor San Bruno BART"
"148","SamTrans","141 Downtown San Bruno San Bruno BART"
"149","SamTrans","250 Downtown San Mateo College of San Mateo"
"150","SamTrans","256 Hillsdale Mall - Foster City"
"151","SamTrans","260 Carlmont Village San Carlos Caltrain"
"152","SamTrans","270 Redwood City Caltrain Station Marsh Road (Menlo Park)"
"153","SamTrans","275 Woodside/Fernside - Redwood City Transit Center"
"154","SamTrans","276 Redwood City Transit Center - Florence/17th"
"155","SamTrans","281 Stanford Shopping Center Palo Alto Caltrain East Palo Alto"
"156","SamTrans","292 Hillsdale Shopping Center SF International Airport San Francisco"
"157","SamTrans","295 Downtown San Mateo Menlo Park"
"158","SamTrans","296 Redwood City East Palo Alto"
"159","SamTrans","398 San Bruno BART - Redwood City Transit Center"
"160","SamTrans","ECR Palo Alto - Daly City"
"161","SamTrans","SCS"
"162","San Francisco Bay Ferry","Alameda/Oakland Ferry"
"163","San Francisco Bay Ferry","Harbor Bay Ferry"
"164","San Francisco Bay Ferry","Vallejo Ferry"
"165","SF Muni","1 California"
"169","SF Muni","10 Townsend"
"173","SF Muni","10R Livermore Amador Valley Transit"
"174","SF Muni","12 Folsom Pacific"
"178","SF Muni","14 Mission"
"182","SF Muni","14R Mission Rapid"
"186","SF Muni","14X Mission Express"
"190","SF Muni","18 46th Avenue"
"194","SF Muni","19 Polk"
"198","SF Muni","1AX California A Express"
"202","SF Muni","1BX California B Express"
"206","SF Muni","2 Clement"
"210","SF Muni","21 Hayes"
"214","SF Muni","22 Fillmore"
"218","SF Muni","23 Monterey"
"222","SF Muni","24 Divisadero"
"226","SF Muni","25 Treasure Island"
"230","SF Muni","27 Bryant"
"234","SF Muni","28 19th Avenue"
"238","SF Muni","28R 19th Avenue Rapid"
"242","SF Muni","29 Sunset"
"246","SF Muni","3 Jackson"
"250","SF Muni","30 Stockton"
"254","SF Muni","30X Marina Express"
"258","SF Muni","31 Balboa"
"262","SF Muni","31AX Balboa A Express"
"266","SF Muni","31BX Balboa B Express"
"269","SF Muni","33 Ashbury 18th"
"273","SF Muni","35 Eureka"
"277","SF Muni","36 Teresita"
"281","SF Muni","37 Corbett"
"285","SF Muni","38 Geary"
"289","SF Muni","38AX Geary A Express"
"293","SF Muni","38BX Geary B Express"
"297","SF Muni","38R Geary Rapid"
"301","SF Muni","39 Coit"
"305","SF Muni","41 Union"
"309","SF Muni","43 Masonic"
"313","SF Muni","44 OShaughnessy"
"317","SF Muni","45 Union Stockton"
"321","SF Muni","47 Van Ness"
"325","SF Muni","48 Quintara 24th Street"
"329","SF Muni","49 Van Ness Mission"
"333","SF Muni","5 Fulton"
"337","SF Muni","52 Excelsior"
"341","SF Muni","54 Felton"
"345","SF Muni","55 16th Street"
"349","SF Muni","56 Rutland"
"353","SF Muni","57 Parkmerced"
"357","SF Muni","5R Fulton Rapid"
"361","SF Muni","6 Haight Parnassus"
"365","SF Muni","66 Quintara"
"369","SF Muni","67 Bernal Heights"
"373","SF Muni","7 Haight Noriega"
"377","SF Muni","76X Marin Headlands Express"
"380","SF Muni","7R Haight Noriega Rapid"
"384","SF Muni","7X Noriega Express"
"388","SF Muni","8 Bayshore"
"392","SF Muni","82X Levi Plaza Express"
"396","SF Muni","83X Mid Market Express"
"400","SF Muni","8AX Bayshore A Express"
"404","SF Muni","8BX Bayshore B Express"
"408","SF Muni","9 San Bruno"
"412","SF Muni","90 San Bruno Owl"
"416","SF Muni","91 Owl"
"420","SF Muni","9R San Bruno Rapid"
"424","SF Muni","California Cable Car"
"427","SF Muni","E Embarcadero"
"431","SF Muni","F Market & Wharves"
"435","SF Muni","J Church"
"439","SF Muni","K OWL"
"440","SF Muni","KT Ingleside Third Street"
"444","SF Muni","L OWL"
"445","SF Muni","L Taraval"
"449","SF Muni","M Ocean View"
"453","SF Muni","N Judah"
"457","SF Muni","N OWL"
"458","SF Muni","NX N Express"
"462","SF Muni","Powell Hyde Cable Car"
"465","SF Muni","POWELL MASON"
"466","SF Muni","Powell Mason Cable Car"
"469","SF Muni","S Light Rail: Castro Shuttle   Metro"
"470","SF Muni","T OWL"
"471","SFSU","San Francisco State (SFSU) Shuttle (Daly City)"
"472","SolTrans","4 Tuolumne St / Vallejo Transit Center"
"473","SolTrans","7 Target Shopping Center/Vallejo Transit Center"
"474","SolTrans","80 Vallejo/El Cerrito Del Norte BART"
"475","Stanford","Stanford Marguerite Shuttle Bohannon"
"476","Stanford","Stanford Marguerite Shuttle Line P"
"477","Stanford","Stanford Marguerite Shuttle Line S"
"478","Stanford","Stanford Marguerite Shuttle Line X (Counter-Clockwise)"
"479","Stanford","Stanford Marguerite Shuttle Line Y (Clockwise)"
"480","Stanford","Stanford Marguerite Shuttle Research Park"
"481","Tri Delta","300 Pittsburg BART / Brentwood Park & Ride"
"482","Tri Delta","380 Pittsburg BART / Antioch"
"483","Tri Delta","388 Pittsburg BART / Hillcrest Park & Ride"
"484","Tri Delta","391 Pittsburg BART / Brentwood Park & Ride"
"485","UCSF","UCSF Shuttle - Mission Bay, Parnassus (16th St)"
"486","Union City","1 Alvarado-Niles: Union City Blvd / Dyer"
"487","Union City","2 Whipple"
"488","VTA","180 FREMONT BART - SAN JOSE DIRIDON STA"
"489","VTA","181 SAN JOSE DIRIDON - FREMONT BART"
"490","VTA","201 DOWNTOWN AREA SHUTTLE (DASH)"
"491","VTA","22 EASTRIDGE - PALO ALTO/MENLO PARK"
"492","VTA","32 STA CLARA CTRN -SN ANTONIO SHOP CTR"
"493","VTA","40 LA AVENIDA - SN ANTONIO SHOP CTR"
"494","VTA","522 EASTRIDGE - PALO ALTO"
"495","VTA","55 DE ANZA COLLEGE - GREAT AMERICA"
"496","VTA","60 WINCHESTER LRT - GT AMERICA"
"497","VTA","64 ALMADEN LRT - MCKEE & WHITE"
"498","VTA","65 KOOSER & MERIDIAN - DOWNTOWN S.J."
"499","VTA","70 CAPITOL LRT STN - GREAT MALL/MAIN"
"500","VTA","89 CALIFORNIA AVE CTRN-VETS HOSPITAL"
"501","VTA","900 Light Rail"
"502","VTA","901 Light Rail"
"503","VTA","902 Light Rail"
"504","WestCAT","12 Local - Hercules Trees and Flowers: Loop"
"505","WestCAT","15 Local - Viewpointe to Hercules Transit Center."
"506","WestCAT","JL Express - Del Norte BART/Hilltop Shopping Center"
"507","WestCAT","JPX Express - Del Norte BART to Hercules Transit Center"
"508","WestCAT","JX Express - Del Norte BART to Hercules Transit Center"
"509","WestCAT","Lynx"
"510","WestCAT","LYNX Transbay Hercules to San Francisco Transbay Terminal"
"514","AC Transit","51B Rockridge BART to Berkeley Amtrak"
"525","Emeryville MTA","26 Emery Bay Public Market to Lakeshore Ave."
"529","Union City","97 Bay Fair BART to Union City BART"
"531","Missing","Agency provided, but route not spec; or illogical transit provided"
"533","SF Muni","8X Bayshore Express"
"534","SF Muni","14L Mission Limited"
"536","SamTrans","131"
"545","AC Transit","51A Rockridge BART to Fruitvale BART"
"546","AC Transit","49 Rockridge BART to Berkeley BART"
"547","SF Muni","38L Geary Limited"
"548","Emeryville MTA","57 Emeryville to Foothill Square Oakland"
"553","AirTrain","AirTrain (SF Airport)"
"558","SolTrans","78 Vallejo/Walnut Creek Bart"
"563","AC Transit","1R International Rapid"
"564","SF Muni","5L Fulton_Limited"
"568","CPMC","CPMC Hospital Shuttle (Civic Ctr, 24th St)"
"571","Caltrain","Local 100"
"572","Tri Delta"," 300 Pittsburg BART / Brentwood Park & Ride"
"573","Rio Vista Delta","52 State Route 160 Express"
"574","Tri Delta"," 387 Pittsburg BART / Antioch"
"575","Tri Delta"," 380 Pittsburg BART / Antioch"
"576","Tri Delta"," 390 Pittsburg BART / Hillcrest Park & Ride"
"577","County Connection","20 DVC/BART Concord"
"579","County Connection","16 AMTRAK/BART Concord"
"582","Tri Delta"," 388 Pittsburg BART / Hillcrest Park & Ride"
"583","Tri Delta"," 391 Pittsburg BART / Brentwood Park & Ride"
"584","AC Transit","376 El Cerrito Del Norte BART to Richmond Parkway Transit Center"
"585","AC Transit","31 Alameda Point to MacArthur BART"
"590","County Connection","14 Monument Blvd"
"591","Tri Delta"," 385 Antioch/Brentwood via Hillcrest"
"593","County Connection","18 AMTRAK/BART Pleasant Hill"
"594","Emeryville MTA","Go-Round Shuttle (MacArthur)"
"597","Kaiser","Kaiser Shuttles (MacArthur, Richmond, others)"
"599","County Connection","98X Martinez/BART Walnut Creek"
"600","County Connection","1 Rossmoor/Shadelands"
"603","AC Transit","99 Bay Fair BART to Fremont BART"
"605","AC Transit","71 El Cerrito Plaza BART to Richmond Parkway Transit Center"
"606","AC Transit","76 El Cerrito del Norte BART to Hilltop Mall"
"607","CSU","CSU East Bay Shuttle (Castro Valley, Hayward, Concord)"
"609","County Connection","6 Lafayette/Moraga/Orinda"
"610","Tri Delta"," 389 Pittsburg BART / Bay Point"
"611","AC Transit","12 Berkeley BART to Downtown Oakland"
"612","Tri Delta"," 201 Pittsburg BART to Concord BART"
"613","AC Transit","70 Richmond BART to Richmond Pkwy. Transit Center"
"616","AC Transit","52 University Village to UC Campus (Berkeley BART)."
"617","AC Transit","86 Hayward BART to South Hayward BART"
"618","AC Transit","217 Fremont BART to Great Mall"
"619","SolTrans","2 Gateway Plaza - Vallejo Campus/Downtown"
"620","SLTMO","75 San Leandro BART to Bay Fair BART"
"622","San Joaquin","San Joaquin (Amtrak)"
"623","AC Transit","60 Hayward BART to Cal State East Bay"
"624","LAVTA"," 12 East Dublin / College / Northwest Livermore"
"625","LAVTA"," 10 Stoneridge - East Avenue"
"626","WestCAT","JR Express - Del Norte BART/Richmond Parkway Transit Center"
"627","AC Transit","232 Fremont BART to New Park Mall"
"628","AC Transit","93 Hayward BART to Bay Fair BART"
"629","SLTMO","85 San Leandro BART to South Hayward BART"
"630","AC Transit","22 Hayward BART"
"631","SolTrans","1 Rancho Vallejo/Downtown"
"632","AC Transit","1 Berkeley BART to Bay Fair BART"
"633","AC Transit","54 Fruitvale BART to Merritt College"
"635","AC Transit","32 Hayward BART to Castro Valley BART"
"638","UC Berkeley","UC Berkeley Campus Shuttle/Bear Transit (Downtown Berkeley)"
"639","AC Transit","M Hayward BART to Oracle"
"640","AC Transit","21 Dimond Dist. to Oakland Airport"
"641","AC Transit","Alta Bates Shuttles (MacArthur, Rockridge, Ashby)"
"642","SLTMO","San Leandro LINKS Shuttle"
"645","SolTrans","5 Discovery Kingdom / Vallejo Transit Center"
"646","AC Transit","215 Fremont BART to Gateway Blvd. & Lakeside Pkwy."
"647","SolTrans","3 Glen Cove/South Vallejo"
"648","LAVTA"," R Stoneridge - East Avenue (RAPID)"
"649","Golden Gate Transit","42 El Cerrito - Richmond - San Rafael"
"650","FAST","3 Outer Fairfield"
"651","Union City","216 Ohlone College Newark Campus to Union City BART"
"652","AC Transit","212 Fremont BART to NewPark Mall"
"653","AC Transit","83 Hayward BART to South Hayward BART"
"656","WestCAT","16 Local - Pinole Valley to Richmond Parkway Transit Center"
"657","AC Transit","210 Ohlone College to Union Landing Shopping Center"
"658","AC Transit","37 Hayward BART to South Hayward BART"
"659","FAST","30 Fairfield - Davis/Sacramento"
"660","AC Transit","25 El Cerrito Plaza BART"
"661","Golden Gate Transit","40 El Cerrito - Richmond - San Rafael"
"663","AC Transit","98 Coliseum BART Edgewater Dr."
"664","Union City","200 Union City BART Fremont BART"
"665","Golden Gate Transit","45 Terra Linda - Kaiser Hospital - San Rafael"
"666","AC Transit","88 Berkeley BART to Lake Merritt BART"
"667","AC Transit","251 Fremont BART to NewPark Mall"
"668","SolTrans","85 Vallejo Transit Center/Fairfield"
"670","AC Transit","58L Oakland Amtrak to Eastmont Transit Center"
"671","WestCAT","30Z Regional - Hercules Transit Center to Martinez Amtrak Station"
"672","Union City","5 Dyer"
"673","Alameda County","Alameda County employee shuttle (Lake Merritt, 12th St, Hayward)"
"674","LAVTA"," 20 East Dublin - East Livermore Express"
"675","Union City"," DB1 Union City BART to Stanford Industrial Park"
"677","AC Transit","94 Hayward BART to Hayward High School."
"678","FAST","1 Fairfield Transit Center - Walmart"
"681","Union City","275 Union City BART Loop"
"682","AC Transit","48 Hayward BART to Bay Fair BART"
"683","WestCAT","11 Local - Crockett to Hercules Transit Center."
"684","Union City"," DB Union City BART to Stanford Oval"
"685","Golden Gate Transit","23 Shoreline Parkway - Fairfax - Manor"
"687","AC Transit","95 Hayward BART to Fairview District"
"691","AC Transit","62 West Oakland BART to Fruitvale BART"
"694","SLTMO","89 San Leandro BART to Bay Fair BART"
"695","SF Muni","28L 19th Avenue Limited"
"697","Golden Gate Transit","22 San Rafael - Marin City"
"701","AC Transit","14 Downtown Oakland to Fruitvale BART"
"702","SFGH","San Francisco General Hospital (SFGH) Shuttle (24th St, Civic Ctr)"
"704","County Connection","96X BART Walnut Creek/Bishop Ranch"
"705","VTA","25 ALUM ROCK LRT - DE ANZA COLLEGE"
"707","AC Transit","40 Downtown Oakland to Bay Fair BART"
"708","SamTrans","Sierra Point/Brisbane Shuttle (Balboa Pk, Millbrae)"
"710","SamTrans","Seton Medical Center Shuttle (Daly City)"
"711","Stanford","Stanford Marguerite Shuttle"
"712","Caltrain","BABY BULLET 300"
"715","AC Transit","B on Broadway Free Broadway Shuttle (19th St, 12th St)"
"718","VTA","68 GILROY - SAN JOSE DIRIDON"
"720","AC Transit","46 Coliseum BART to Oakland Zoo"
"722","Caltrain","Limited 200"
"723","VTA","10 METRO/AIRPORT - CTRN"
"725","County Connection","315 BART Concord/Landana"
"727","Berkeley Gateway TMA","West Berkeley Shuttle (Ashby)"
"728","AC Transit","47 Fruitvale BART to Maxwell Park"
"729","Highland Hospital","Highland Hospital Shuttle (Lake Merritt)"
"731","AC Transit","39 Fruitvale BART to Skyline High School"
"732","County Connection","626 St Marys College/BART Lafayette"
"734","Capitol Corridor","Capitol Corridor Sacramento/San Jose"
"736","SamTrans","43 Millbrae Square San Bruno BART"
"737","Caltrain","Burlingame Bayside Shuttle (Millbrae/Caltrain)"
"739","AC Transit","Broadway Shuttle (Millbrae/Caltrain)"
"740","AC Transit","239 Fremont BART to Warm Springs Blvd. & Dixon Landing Rd."
"741","Caltrain","Oyster Point Shuttle (South SF)"
"742","Utah Grand","Utah Grand Shuttle (South SF)"
"743","VTA","52 DNTN MTN VIEW - FOOTHILL COLLEGE"
"744","SamTrans","133 Tanforan South San Francisco BART"
"747","AC Transit","67 Berkeley BART to Grizzly Peak"
"748","LAVTA"," 15 Springtown"
"750","County Connection","97X BART Dublin/Bishop Ranch"
"752","Union City","4 Seven Hills"
"753","AC Transit","7 El Cerrito del Norte BART"
"755","LAVTA"," 8 Hopyard"
"756","AC Transit","65 Berkeley BART to Lawrence Hall of Science"
"758","Golden Gate Transit","10 Strawberry - San Francisco"
"759","UCSF","Childrens Hospital Oakland Shuttle (MacArthur)"
"762","Caltrain","Crocker Park/Brisbane Shuttle (Balboa Pk/Caltrain)"
"765","Marin Transit"," 219 Tiburon - Marin City"
"766","County Connection","19 AMTRAK/BART Concord"
"768","VTA","17 GILROY TRANSIT CTR - ST LOUISE HOSP"
"771","LAVTA"," 401 Big Trees Park"
"774","LAVTA"," 604 Fairlands / Hacienda / Muirwood"
"775","County Connection","Downtown Walnut Creek Trolley/Shuttle ""Free Ride (4)"
"776","County Connection","95X San Ramon/BART Walnut Creek"
"777","VTA","46 GREAT MALL - WASHINGTON/ESCUELA"
"779","SF Muni","9L San Bruno Limited"
"780","VTA","35 STANFORD SHOP CTR - DNTN MTN VIEW"
"785","VTA","323 DE ANZA COL - DOWNTOWN SAN JOSE"
"788","SF Muni","S Castro Shuttle"
"789","AC Transit","657 Coliseum BART to Oakland Technical High School"
"790","County Connection","92X ACE Express"
"791","FAST","5 Suisun City West"
"792","VTA","120 FREMONT BART - LOCKHEED MARTIN"
"793","VTA","81 SAN JOSE STATE - CUPERTINO SQUARE"
"794","Napa Vine","21 Napa Solano Express"
"795","SamTrans","118 Crespi Park & Ride Colma BART"
"797","VTA","71 EASTRIDGE- GREAT MALL/MAIN"
"799","LAVTA"," 54 Hacienda"
"800","LAVTA"," 53 Stoneridge"
"801","LAVTA"," 1 East Dublin/ Pleasanton"
"803","County Connection","260 BART Concord/Cal State East Bay"
"804","Bishop Ranch","Bishop Ranch Shuttle (Walnut Creek)"
"805","County Connection","310 BART Concord-Clayton Rd/Kirker Pass Rd"
"806","County Connection","316 Martinez AMTRAK/BART Pleasant Hill"
"807","County Connection","321 Walnut Creek BART/San Ramon"
"810","SF Muni","NX Judah Express BUS   Peak direction only"
"811","Caltrain","North Burlingame shuttle"
"812","Fairmont Hospital","Fairmont Hospital / Juvenile Justice Shuttle (Bay Fair)"
"814","County Connection","311 BART Concord/BART PH/BART WC"
"815","LAVTA"," 70XV Stoneridge - Pleasant Hill Express"
"816","Yahoo","Yahoo Shuttle (Fremont, Glen Park, MacArthur)"
"817","County Connection","320 DVC/BART Concord"
"818","SamTrans","398"
"819","County Connection","93X Kirker Pass Express"
"821","Caltrain","Foster City-North Shuttle (Millbrae/Caltrain)"
"822","SamTrans","28 Serramonte Center - South San Francisco School"
"823","LAVTA"," 3 West Dublin/ Pleasanton"
"825","SamTrans","49 Terra Nova School - Airport/San Bruno"
"826","Caltrain","Bayhill Shuttle (San Bruno)"
"828","FAST","40 Vacaville - Walnut Creek BART"
"829","LAVTA"," R Stoneridge - East Avenue"
"830","AC Transit","851 All Nighter. Downtown Berkeley to Fruitvale BART"
"831","County Connection","91X Concord Commuter Express"
"832","AC Transit","U Fremont BART to Stanford University"
"834","City of Alameda","Estuary Crossing - College of Alameda Shuttle (Lake Merritt)"
"835","LAVTA"," 9 Hacienda Business Park"
"836","LAVTA"," 2 Dublin Ranch"
"837","AC Transit","805 All Nighter. Downtown Oakland to Oakland Airport"
"839","VTA","51 VALLCO - MOFFETT FLD/AMES CTR"
"840","SamTrans","251 Bridgepoint Hillsdale Shopping Center"
"842","VTA","66 STA TERESA HOSP. - MILPITAS/DIXON"
"843","VTA","23 ALUM ROCK TRANSIT CTR - DE ANZA COL"
"844","Santa Cruz Metro","17"
"847","VTA","72 SANTA TERESA - DOWNTOWN SAN JOSE"
"853","VTA","82 WESTGATE - 21ST & MISSION"
"855","FAST","20 Fairfield - Vacaville"
"856","Monterey-Salinas Transit","55"
"857","Santa Rosa City","5 Santa Rosa Avenue"
"858","SamTrans","17 Moss Beach (Seton Medical Center Coastside) Half Moon Bay"
"859","SamTrans","256"
"860","VTA","62 GOOD SAM HOSP - SIERA & PIEDMONT"
"861","VTA","323"
"862","Caltrain","Mariners Island shuttle"
"864","Santa Rosa City","8"
"865","SamTrans","FLX"
"866","Golden Gate Transit","61"
"867","Rio Vista Delta","50 State Route 12 Express"
"868","Caltrain","Caltrain- Shuttles Stanford Marguerite"
"873","Stanford","Stanford Marguerite Line X Palo Alto Transit Center, Stanford Shopping Center"
"874","VTA","57 WEST VALLEY COLL - GREAT AMERICA"
"875","Stanford","Stanford Marguerite Line Y Palo Alto Transit Center, Stanford Medical Center"
"880","BART","BART RICH/MILL Richmond to Millbrae"
"889","Caltrain","Caltrain- Shuttles North Foster City"
"890","ACE","ACE (Shuttles) DASH Downtown Area Shuttle"
"892","SF Muni","N OWL   Judah   Bus substitution for Metro"
"894","Golden Gate Ferry","LF Larkspur"
"898","Caltrain","Caltrain- Shuttles Utah-Grand"
"901","Santa Cruz Metro","Unknown"
"903","VTA","54 DE ANZA COLL. - LOCKHEED"
"904","SF Muni","T OWL   Third Street   Bus substitution for Metro"
"905","SF Muni","K OWL   Ingleside   Bus substitution for Metro"
"906","VTA","49 LOS GATOS - WINCHESTER LRT"
"907","Stanford","Stanford Marguerite Line V Stanford Hospital, California Ave Caltrain Station"
"910","Caltrain","Caltrain- Shuttles Duane Ave."
"914","Dumbarton Express","DB Union City BART to Stanford Oval"
"917","Caltrain","Caltrain- Shuttles DASH (VTA) Downtown San Jose Caltrain"
"918","BART","BART FREMONT/DALY Fremont To Daly City"
"920","SamTrans","252 5th/El Camino Real - (loop)"
