route,direction,time_of_day,test_statistic,test_df,test_p_value
5,INBOUND,AM,2271.40741652586,5,0
5,INBOUND,daily,188.527507212542,5,8.06390093307338e-39
5,INBOUND,MD,0.00583218938246376,5,0.999999862112998
5,INBOUND,PM,739.776596821306,5,1.22965352762927e-157
5,OUTBOUND,AM,0.985800630281184,5,0.963702900225427
5,OUTBOUND,daily,0.252256413169505,5,0.998445875678758
5,OUTBOUND,MD,2.30740617387924,5,0.805178492662545
5,OUTBOUND,PM,3.79738429530613,5,0.578940728204097
L,INBOUND,AM,26.6713754069873,2,1.61578814719257e-06
L,INBOUND,daily,213.520955260863,2,4.31036134905338e-47
L,INBOUND,MD,28.5365668472645,2,6.35862543439631e-07
L,INBOUND,PM,149.330351438692,2,3.74391684983674e-33
L,OUTBOUND,AM,35.3120726436216,2,2.14823037567634e-08
L,OUTBOUND,daily,1137.58692847643,2,9.46536005209503e-248
L,OUTBOUND,MD,511.408901555958,2,8.89135660929286e-112
L,OUTBOUND,PM,352.125382289239,2,3.44306139462826e-77
