route,direction,time_of_day,board_segment,board_segment_start,board_segment_end,alight_segment,alight_segment_start,alight_segment_end,flow
5,OUTBOUND,PM,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,914.4762756
5,OUTBOUND,PM,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,210.0763732
5,OUTBOUND,PM,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,28.40338435
5,OUTBOUND,PM,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,76.92362677
5,OUTBOUND,PM,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,7.999999999
5,OUTBOUND,daily,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,1127.093219
5,OUTBOUND,daily,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,2845.037734
5,OUTBOUND,daily,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,880.977317
5,OUTBOUND,daily,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,468.8690471
5,OUTBOUND,daily,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,491.022683
5,OUTBOUND,daily,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,104
L,INBOUND,AM,A,Wawona/46th,Ulloa/Forest Side,A,Wawona/46th,Ulloa/Forest Side,179.165018
L,INBOUND,AM,A,Wawona/46th,Ulloa/Forest Side,B,Ulloa/West Portal,Muni Embarcadero Station,2871.479571
L,INBOUND,AM,B,Ulloa/West Portal,Muni Embarcadero Station,B,Ulloa/West Portal,Muni Embarcadero Station,2151.007196
L,INBOUND,MD,A,Wawona/46th,Ulloa/Forest Side,A,Wawona/46th,Ulloa/Forest Side,172.6432571
L,INBOUND,MD,A,Wawona/46th,Ulloa/Forest Side,B,Ulloa/West Portal,Muni Embarcadero Station,2109.690332
L,INBOUND,MD,B,Ulloa/West Portal,Muni Embarcadero Station,B,Ulloa/West Portal,Muni Embarcadero Station,1811.218293
L,INBOUND,PM,A,Wawona/46th,Ulloa/Forest Side,A,Wawona/46th,Ulloa/Forest Side,120.6666947
L,INBOUND,PM,A,Wawona/46th,Ulloa/Forest Side,B,Ulloa/West Portal,Muni Embarcadero Station,1416.770243
L,INBOUND,PM,B,Ulloa/West Portal,Muni Embarcadero Station,B,Ulloa/West Portal,Muni Embarcadero Station,1788.302415
L,INBOUND,daily,A,Wawona/46th,Ulloa/Forest Side,A,Wawona/46th,Ulloa/Forest Side,578.2621689
L,INBOUND,daily,A,Wawona/46th,Ulloa/Forest Side,B,Ulloa/West Portal,Muni Embarcadero Station,7559.085977
L,INBOUND,daily,B,Ulloa/West Portal,Muni Embarcadero Station,B,Ulloa/West Portal,Muni Embarcadero Station,7350.651854
L,OUTBOUND,AM,A,Muni Embarcadero Station,Ulloa/West Portal,A,Muni Embarcadero Station,Ulloa/West Portal,1119.00824
L,OUTBOUND,AM,A,Muni Embarcadero Station,Ulloa/West Portal,B,Ulloa/Forest Side,Wawona/46th,867.2868322
L,OUTBOUND,AM,B,Ulloa/Forest Side,Wawona/46th,B,Ulloa/Forest Side,Wawona/46th,83.38937899
L,OUTBOUND,MD,A,Muni Embarcadero Station,Ulloa/West Portal,A,Muni Embarcadero Station,Ulloa/West Portal,1795.0495
L,OUTBOUND,MD,A,Muni Embarcadero Station,Ulloa/West Portal,B,Ulloa/Forest Side,Wawona/46th,2075.860459
L,OUTBOUND,MD,B,Ulloa/Forest Side,Wawona/46th,B,Ulloa/Forest Side,Wawona/46th,174.6106939
L,OUTBOUND,PM,A,Muni Embarcadero Station,Ulloa/West Portal,A,Muni Embarcadero Station,Ulloa/West Portal,2856.23451
L,OUTBOUND,PM,A,Muni Embarcadero Station,Ulloa/West Portal,B,Ulloa/Forest Side,Wawona/46th,3218.69074
L,OUTBOUND,PM,B,Ulloa/Forest Side,Wawona/46th,B,Ulloa/Forest Side,Wawona/46th,169.9536001
L,OUTBOUND,daily,A,Muni Embarcadero Station,Ulloa/West Portal,A,Muni Embarcadero Station,Ulloa/West Portal,7154.142348
L,OUTBOUND,daily,A,Muni Embarcadero Station,Ulloa/West Portal,B,Ulloa/Forest Side,Wawona/46th,7819.974735
L,OUTBOUND,daily,B,Ulloa/Forest Side,Wawona/46th,B,Ulloa/Forest Side,Wawona/46th,513.8829172
