route,direction,time_of_day,board_segment,board_segment_start,board_segment_end,alight_segment,alight_segment_start,alight_segment_end,flow
5,INBOUND,AM,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,34.2325228
5,INBOUND,AM,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,52.34420236
5,INBOUND,AM,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,95.66111679
5,INBOUND,AM,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,114.4232748
5,INBOUND,AM,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,863.3388832
5,INBOUND,AM,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,165
5,INBOUND,MD,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,26.04871194
5,INBOUND,MD,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,78.69616003
5,INBOUND,MD,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,332.0719899
5,INBOUND,MD,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,96.25512801
5,INBOUND,MD,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,1139.92801
5,INBOUND,MD,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,466
5,INBOUND,PM,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,3
5,INBOUND,PM,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,40.35304113
5,INBOUND,PM,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,137.6469589
5,INBOUND,PM,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,41.64695887
5,INBOUND,PM,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,420.3530411
5,INBOUND,PM,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,219
5,INBOUND,daily,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,112.3757648
5,INBOUND,daily,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,271.4023976
5,INBOUND,daily,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,636.6339158
5,INBOUND,daily,A,CABRILLO ST&LA PLAYA ST N,FULTON ST&8TH AVE SE-FS/B,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,368.2218376
5,INBOUND,daily,B,6TH AVE & FULTON ST,MCALLISTER ST&GOUGH ST SW,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,2733.366084
5,INBOUND,daily,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,C,MCALLISTER ST&VAN NESS AV,HOWARD ST&MAIN ST S-NS/B,962
5,OUTBOUND,AM,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,192.1237624
5,OUTBOUND,AM,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,329.4749693
5,OUTBOUND,AM,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,123.0398822
5,OUTBOUND,AM,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,50.40126832
5,OUTBOUND,AM,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,64.96011783
5,OUTBOUND,AM,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,27.99999999
5,OUTBOUND,MD,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,514.1753731
5,OUTBOUND,MD,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,1029.71948
5,OUTBOUND,MD,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,408.8476841
5,OUTBOUND,MD,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,130.1051468
5,OUTBOUND,MD,B,MCALLISTER ST&GOUGH ST NW,6TH AVE & FULTON ST,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,165.1523159
5,OUTBOUND,MD,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,C,CABRILLO ST&6TH AVE NW-FS,CABRILLO ST&LA PLAYA ST,11
5,OUTBOUND,PM,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,A,HOWARD ST&MAIN ST S-NS/BZ,MCALLISTER ST&VAN NESS AV,243.1203401
