champ_name,apc_route,apc_direction,stop_sequence,stop_location,match_location,segment_number,start_or_end,updated_segment_number
MUN108I,108,INBOUND,0,Avenue H/13th,NA,NA,NA,Missing
MUN108I,108,INBOUND,4,Avenue B/Gateview,NA,NA,NA,Missing
MUN108I,108,INBOUND,8,Avenue H/9th,NA,NA,NA,Missing
MUN108I,108,INBOUND,13,Avenue of the Palms/MacAlla,NA,NA,NA,Missing
MUN108I,108,INBOUND,14,Beale/Howard,NA,NA,NA,Missing
MUN108O,108,OUTBOUND,0,Beale/Howard,NA,NA,NA,Missing
MUN108O,108,OUTBOUND,2,MacAlla/North Gate,NA,NA,NA,Missing
MUN108O,108,OUTBOUND,3,MacAlla/Nimitz,NA,NA,NA,Missing
MUN108O,108,OUTBOUND,5,Avenue of the Palms/Clipper Cove,NA,NA,NA,Missing
MUN108O,108,OUTBOUND,6,California/Avenue D,NA,NA,NA,Missing
MUN108O,108,OUTBOUND,7,California/Avenue H,NA,NA,NA,Missing
MUN108O,108,OUTBOUND,8, / ,NA,NA,NA,Missing
MUN108O,108,OUTBOUND,9,Avenue H/13th,NA,NA,NA,Missing
MUN10I,10,INBOUND,0,24th/Potrero,NA,NA,NA,Missing
MUN10I,10,INBOUND,1,23rd/Utah,NA,NA,NA,Missing
MUN10I,10,INBOUND,3,23rd/Kansas,NA,NA,NA,Missing
MUN10I,10,INBOUND,4,Rhode Island/23rd,NA,NA,NA,Missing
MUN10I,10,INBOUND,5,24th/Rhode Island,NA,NA,NA,Missing
MUN10I,10,INBOUND,6,Rhode Island/25th,NA,NA,NA,Missing
MUN10I,10,INBOUND,7,Rhode Island/26th,NA,NA,NA,Missing
MUN10I,10,INBOUND,10,Wisconsin/25th,NA,NA,NA,Missing
MUN10I,10,INBOUND,11,Connecticut/25th,NA,NA,NA,Missing
MUN10I,10,INBOUND,12,Dakota/25th,NA,NA,NA,Missing
MUN10I,10,INBOUND,17,Connecticut/20th,NA,NA,NA,Missing
MUN10I,10,INBOUND,18,19th/Connecticut,NA,NA,NA,Missing
MUN10I,10,INBOUND,19,Connecticut/18th,NA,NA,NA,Missing
MUN10I,10,INBOUND,20,17th/Connecticut,NA,NA,NA,Missing
MUN10I,10,INBOUND,21,Wisconsin/17th,NA,NA,NA,Missing
MUN10I,10,INBOUND,22,De Haro/17th,NA,NA,NA,Missing
MUN10I,10,INBOUND,23,De Haro/16th,NA,NA,NA,Missing
MUN10I,10,INBOUND,25,15th/Rhode Island,NA,NA,NA,Missing
MUN10I,10,INBOUND,26,Rhode Island/Alameda,NA,NA,NA,Missing
MUN10I,10,INBOUND,27,Division/Henry Adams,NA,NA,NA,Missing
MUN10I,10,INBOUND,28,Townsend/7th,NA,NA,NA,Missing
MUN10I,10,INBOUND,29,6th/Townsend,NA,NA,NA,Missing
MUN10I,10,INBOUND,30,5th/Townsend,NA,NA,NA,Missing
MUN10I,10,INBOUND,31,Townsend/4th,Townsend & 4th,3,Start,3
MUN10I,10,INBOUND,32,3rd/Townsend,Townsend & 3rd,2,End,2
MUN10I,10,INBOUND,33,Townsend/2nd,NA,NA,NA,2
MUN10I,10,INBOUND,34,Brannan/2nd,NA,NA,NA,2
MUN10I,10,INBOUND,35,Bryant/2nd,NA,NA,NA,2
MUN10I,10,INBOUND,36,Harrison/2nd,NA,NA,NA,2
MUN10I,10,INBOUND,37,Folsom/2nd,NA,NA,NA,2
MUN10I,10,INBOUND,38,2nd/Howard,NA,NA,NA,2
MUN10I,10,INBOUND,39,Stevenson/2nd,NA,NA,NA,2
MUN10I,10,INBOUND,40,Sutter/Market,NA,NA,NA,2
MUN10I,10,INBOUND,41,Sansome/Pine,NA,NA,NA,2
MUN10I,10,INBOUND,42,Sansome/Sacramento,NA,NA,NA,2
MUN10I,10,INBOUND,43,Washington/Sansome,NA,NA,NA,2
MUN10I,10,INBOUND,44,Sansome/Pacific,NA,NA,NA,2
MUN10I,10,INBOUND,45,Montgomery/Pacific,NA,NA,NA,2
MUN10I,10,INBOUND,46,Kearny/Pacific,NA,NA,NA,2
MUN10I,10,INBOUND,47,Grant/Pacific,NA,NA,NA,2
MUN10I,10,INBOUND,48,Stockton/Pacific,NA,NA,NA,2
MUN10I,10,INBOUND,49,Powell/Pacific,NA,NA,NA,2
MUN10I,10,INBOUND,50,Mason/Pacific,NA,NA,NA,2
MUN10I,10,INBOUND,51,Pacific/Taylor,NA,NA,NA,2
MUN10I,10,INBOUND,52,Jones/Pacific,NA,NA,NA,2
MUN10I,10,INBOUND,54,Hyde/Pacific,NA,NA,NA,2
MUN10I,10,INBOUND,55,Larkin/Pacific,NA,NA,NA,2
MUN10I,10,INBOUND,56,Polk/Pacific,NA,NA,NA,2
MUN10I,10,INBOUND,57,Van Ness/Pacific,NA,NA,NA,2
MUN10I,10,INBOUND,58,Van Ness/Jackson,NA,NA,NA,2
MUN10I,10,INBOUND,59,Jackson/Franklin,NA,NA,NA,2
MUN10I,10,INBOUND,61,Jackson/Octavia,NA,NA,NA,2
MUN10I,10,INBOUND,63,Jackson/Buchanan,NA,NA,NA,2
MUN10I,10,INBOUND,64,Jackson/Webster,NA,NA,NA,2
