champ_name,apc_route,apc_direction,stop_sequence,stop_location,match_location,segment_number,start_or_end,updated_segment_number
MUN10I,10,INBOUND,65,Jackson/Fillmore,Jackson & Fillmore,1,Start,1
MUN10O,10,OUTBOUND,0,Jackson/Fillmore,NA,NA,NA,Missing
MUN10O,10,OUTBOUND,4,Washington/Webster,NA,NA,NA,Missing
MUN10O,10,OUTBOUND,12,Larkin/Pacific,NA,NA,NA,Missing
MUN10O,10,OUTBOUND,13,Hyde/Pacific,NA,NA,NA,Missing
MUN10O,10,OUTBOUND,15,Jones/Pacific,NA,NA,NA,Missing
MUN10O,10,OUTBOUND,16,Pacific/Taylor,NA,NA,NA,Missing
MUN10O,10,OUTBOUND,17,Mason/Pacific,NA,NA,NA,Missing
MUN10O,10,OUTBOUND,18,Powell/Pacific,NA,NA,NA,Missing
MUN10O,10,OUTBOUND,19,Stockton/Broadway,NA,NA,NA,Missing
MUN10O,10,OUTBOUND,20,Columbus/Broadway,NA,NA,NA,Missing
MUN10O,10,OUTBOUND,21,Montgomery/Broadway,NA,NA,NA,Missing
MUN10O,10,OUTBOUND,22,Sansome/Broadway,NA,NA,NA,Missing
MUN10O,10,OUTBOUND,23,Broadway/Battery,NA,NA,NA,Missing
MUN10O,10,OUTBOUND,24,Jackson/Battery,NA,NA,NA,Missing
MUN10O,10,OUTBOUND,25,Sansome/Clay,Clay & Sansome,1,End,1
MUN10O,10,OUTBOUND,26,Sansome/California,NA,NA,NA,1
MUN10O,10,OUTBOUND,27,Sutter/Market,NA,NA,NA,1
MUN10O,10,OUTBOUND,28,Stevenson/2nd,NA,NA,NA,1
MUN10O,10,OUTBOUND,29,2nd/Howard,NA,NA,NA,1
MUN10O,10,OUTBOUND,30,Folsom/2nd,NA,NA,NA,1
MUN10O,10,OUTBOUND,31,Harrison/2nd,NA,NA,NA,1
MUN10O,10,OUTBOUND,32,Bryant/2nd,NA,NA,NA,1
MUN10O,10,OUTBOUND,33,Brannan/2nd,NA,NA,NA,1
MUN10O,10,OUTBOUND,34,Townsend/2nd,NA,NA,NA,1
MUN10O,10,OUTBOUND,35,3rd/Townsend,Townsend & 3rd,2,End,2
MUN10O,10,OUTBOUND,36,Townsend/4th,Townsend & 4th,3,Start,3
MUN10O,10,OUTBOUND,37,5th/Townsend,NA,NA,NA,3
MUN10O,10,OUTBOUND,39,Townsend/7th,NA,NA,NA,3
MUN10O,10,OUTBOUND,40,Rhode Island/Division,NA,NA,NA,3
MUN10O,10,OUTBOUND,42,15th/Rhode Island,NA,NA,NA,3
MUN10O,10,OUTBOUND,43,Rhode Island/16th,NA,NA,NA,3
MUN10O,10,OUTBOUND,44,Rhode Island/17th,NA,NA,NA,3
MUN10O,10,OUTBOUND,45,De Haro/17th,NA,NA,NA,3
MUN10O,10,OUTBOUND,46,Wisconsin/17th,NA,NA,NA,3
MUN10O,10,OUTBOUND,47,17th/Connecticut,NA,NA,NA,3
MUN10O,10,OUTBOUND,48,Connecticut/18th,NA,NA,NA,3
MUN10O,10,OUTBOUND,49,19th/Connecticut,NA,NA,NA,3
MUN10O,10,OUTBOUND,50,Arkansas/20th,NA,NA,NA,3
MUN10O,10,OUTBOUND,52,Arkansas/Madera,NA,NA,NA,3
MUN10O,10,OUTBOUND,53,Dakota/23rd,NA,NA,NA,3
MUN10O,10,OUTBOUND,54,Dakota/25th,NA,NA,NA,3
MUN10O,10,OUTBOUND,55,Connecticut/25th,NA,NA,NA,3
MUN10O,10,OUTBOUND,56,Wisconsin/25th,NA,NA,NA,3
MUN10O,10,OUTBOUND,58,Rhode Island/26th,NA,NA,NA,3
MUN10O,10,OUTBOUND,59,26th/Kansas,NA,NA,NA,3
MUN10O,10,OUTBOUND,60,Kansas/25th,NA,NA,NA,3
MUN10O,10,OUTBOUND,61,23rd/Kansas,NA,NA,NA,3
MUN10O,10,OUTBOUND,62,Vermont/23rd,NA,NA,NA,3
MUN10O,10,OUTBOUND,63,23rd/Utah,NA,NA,NA,3
MUN10O,10,OUTBOUND,64,24th/Potrero,24th & Potrero,3,End,3
MUN12I,12,INBOUND,0,24th/Mission,NA,NA,NA,Missing
MUN12I,12,INBOUND,1,24th/Valencia,NA,NA,NA,Missing
MUN12I,12,INBOUND,2,Valencia/25th,NA,NA,NA,Missing
MUN12I,12,INBOUND,3,Army/Capp/Mission,NA,NA,NA,Missing
MUN12I,12,INBOUND,4,Folsom/Army,NA,NA,NA,Missing
MUN12I,12,INBOUND,5,Folsom/25th,NA,NA,NA,Missing
MUN12I,12,INBOUND,6,24th/Folsom,NA,NA,NA,Missing
MUN12I,12,INBOUND,7,22nd/Folsom,NA,NA,NA,Missing
MUN12I,12,INBOUND,8,Folsom/20th,NA,NA,NA,Missing
MUN12I,12,INBOUND,9,Folsom/18th,NA,NA,NA,Missing
MUN12I,12,INBOUND,10,Folsom/16th,NA,NA,NA,Missing
MUN12I,12,INBOUND,11,Folsom/14th,Folsom & 14th,3,Start,3
MUN12I,12,INBOUND,12,Folsom/11th,NA,NA,NA,3
MUN12I,12,INBOUND,13,Folsom/9th,NA,NA,NA,3
MUN12I,12,INBOUND,14,Folsom/8th,NA,NA,NA,3
MUN12I,12,INBOUND,15,Folsom/7th,NA,NA,NA,3
MUN12I,12,INBOUND,16,6th/Folsom,NA,NA,NA,3
MUN12I,12,INBOUND,17,Folsom/5th,NA,NA,NA,3
MUN12I,12,INBOUND,18,Folsom/4th,NA,NA,NA,3
MUN12I,12,INBOUND,19,3rd/Folsom,NA,NA,NA,3
MUN12I,12,INBOUND,20,Folsom/2nd,NA,NA,NA,3
MUN12I,12,INBOUND,21,2nd/Howard,NA,NA,NA,3
MUN12I,12,INBOUND,22,Stevenson/2nd,NA,NA,NA,3
MUN12I,12,INBOUND,23,Sutter/Market,NA,NA,NA,3
MUN12I,12,INBOUND,24,Sansome/Pine,NA,NA,NA,3
MUN12I,12,INBOUND,25,Sansome/Sacramento,NA,NA,NA,3
MUN12I,12,INBOUND,26,Washington/Sansome,NA,NA,NA,3
MUN12I,12,INBOUND,27,Sansome/Pacific,NA,NA,NA,3
MUN12I,12,INBOUND,28,Montgomery/Pacific,NA,NA,NA,3
MUN12I,12,INBOUND,29,Kearny/Pacific,NA,NA,NA,3
MUN12I,12,INBOUND,30,Grant/Pacific,NA,NA,NA,3
MUN12I,12,INBOUND,31,Stockton/Pacific,NA,NA,NA,3
MUN12I,12,INBOUND,32,Powell/Pacific,NA,NA,NA,3
MUN12I,12,INBOUND,33,Mason/Pacific,NA,NA,NA,3
MUN12I,12,INBOUND,34,Pacific/Taylor,NA,NA,NA,3
MUN12I,12,INBOUND,35,Jones/Pacific,NA,NA,NA,3
MUN12I,12,INBOUND,37,Hyde/Pacific,NA,NA,NA,3
MUN12I,12,INBOUND,38,Larkin/Pacific,NA,NA,NA,3
MUN12I,12,INBOUND,39,Polk/Pacific,NA,NA,NA,3
MUN12I,12,INBOUND,40,Van Ness/Pacific,Pacific & Van Ness,1,Start,1
MUN12O,12,OUTBOUND,0,Van Ness/Pacific,NA,NA,NA,Missing
MUN12O,12,OUTBOUND,2,Larkin/Pacific,NA,NA,NA,Missing
MUN12O,12,OUTBOUND,3,Hyde/Pacific,NA,NA,NA,Missing
MUN12O,12,OUTBOUND,5,Jones/Pacific,NA,NA,NA,Missing
MUN12O,12,OUTBOUND,6,Pacific/Taylor,NA,NA,NA,Missing
MUN12O,12,OUTBOUND,7,Mason/Pacific,NA,NA,NA,Missing
MUN12O,12,OUTBOUND,8,Powell/Pacific,NA,NA,NA,Missing
MUN12O,12,OUTBOUND,9,Stockton/Broadway,NA,NA,NA,Missing
MUN12O,12,OUTBOUND,10,Grant/Broadway,NA,NA,NA,Missing
MUN12O,12,OUTBOUND,11,Kearny/Broadway,NA,NA,NA,Missing
MUN12O,12,OUTBOUND,12,Montgomery/Broadway,NA,NA,NA,Missing
MUN12O,12,OUTBOUND,13,Sansome/Broadway,NA,NA,NA,Missing
MUN12O,12,OUTBOUND,14,Broadway/Battery,NA,NA,NA,Missing
MUN12O,12,OUTBOUND,15,Jackson/Battery,NA,NA,NA,Missing
MUN12O,12,OUTBOUND,16,Sansome/Clay,Clay & Sansome,1,End,1
MUN12O,12,OUTBOUND,17,Sansome/California,NA,NA,NA,1
MUN12O,12,OUTBOUND,18,Sutter/Market,NA,NA,NA,1
MUN12O,12,OUTBOUND,19,Stevenson/2nd,NA,NA,NA,1
MUN12O,12,OUTBOUND,20,2nd/Howard,NA,NA,NA,1
MUN12O,12,OUTBOUND,21,Folsom/2nd,NA,NA,NA,1
MUN12O,12,OUTBOUND,22,Harrison/2nd,NA,NA,NA,1
MUN12O,12,OUTBOUND,23,3rd/Harrison,NA,NA,NA,1
MUN12O,12,OUTBOUND,24,I-80 W On-ramp/Harrison/4th,NA,NA,NA,1
MUN12O,12,OUTBOUND,25,5th/Harrison/I-80 W Off-ramp,NA,NA,NA,1
MUN12O,12,OUTBOUND,26,6th/Harrison,NA,NA,NA,1
MUN12O,12,OUTBOUND,27,7th/Harrison,NA,NA,NA,1
MUN12O,12,OUTBOUND,28,8th/Harrison/I-80 W Off-ramp,NA,NA,NA,1
MUN12O,12,OUTBOUND,29,Harrison/9th,NA,NA,NA,1
MUN12O,12,OUTBOUND,30,11th/Harrison,NA,NA,NA,1
MUN12O,12,OUTBOUND,31,Folsom/11th,NA,NA,NA,1
MUN12O,12,OUTBOUND,32,Folsom/14th,Folsom & 14th,3,Start,3
MUN12O,12,OUTBOUND,33,Folsom/16th,NA,NA,NA,3
MUN12O,12,OUTBOUND,34,Folsom/17th,NA,NA,NA,3
MUN12O,12,OUTBOUND,35,Folsom/18th,NA,NA,NA,3
MUN12O,12,OUTBOUND,36,Folsom/20th,NA,NA,NA,3
MUN12O,12,OUTBOUND,37,22nd/Folsom,NA,NA,NA,3
MUN12O,12,OUTBOUND,38,24th/Folsom,NA,NA,NA,3
MUN12O,12,OUTBOUND,39,Folsom/25th,NA,NA,NA,3
MUN12O,12,OUTBOUND,40,Folsom/26th,NA,NA,NA,3
MUN12O,12,OUTBOUND,41,Folsom/Army,NA,NA,NA,3
MUN12O,12,OUTBOUND,42,Army/South Van Ness,NA,NA,NA,3
MUN12O,12,OUTBOUND,43,Army/Capp/Mission,NA,NA,NA,3
MUN12O,12,OUTBOUND,44,Valencia/Army,NA,NA,NA,3
MUN12O,12,OUTBOUND,45,Valencia/25th,NA,NA,NA,3
MUN12O,12,OUTBOUND,46,24th/Valencia,NA,NA,NA,3
MUN12O,12,OUTBOUND,47,24th/Mission,24th & Mission,3,End,3
MUN14I,14,INBOUND,0,MISSION / SAN JOSE,NA,NA,NA,Missing
MUN14I,14,INBOUND,1,Mission/Evergreen,NA,NA,NA,Missing
MUN14I,14,INBOUND,2,Sickles/Mission/Acton,NA,NA,NA,Missing
MUN14I,14,INBOUND,3,Oliver/Mission,NA,NA,NA,Missing
MUN14I,14,INBOUND,4,Morse/Whittier/Mission,NA,NA,NA,Missing
MUN14I,14,INBOUND,5,Lowell/Mission,NA,NA,NA,Missing
MUN14I,14,INBOUND,6,Guttenberg/Mission,NA,NA,NA,Missing
MUN14I,14,INBOUND,7,Allison/Mission,NA,NA,NA,Missing
MUN14I,14,INBOUND,8,Mission/Geneva,NA,NA,NA,Missing
MUN14I,14,INBOUND,9,Mission/Italy,NA,NA,NA,Missing
MUN14I,14,INBOUND,10,Mission/Russia,NA,NA,NA,Missing
MUN14I,14,INBOUND,11,Persia/Mission,NA,NA,NA,Missing
MUN14I,14,INBOUND,12,Mission/Brazil,NA,NA,NA,Missing
MUN14I,14,INBOUND,13,Mission/Excelsior,NA,NA,NA,Missing
MUN14I,14,INBOUND,14,Silver/Mission,NA,NA,NA,Missing
MUN14I,14,INBOUND,15,Mission/Trumbull,NA,NA,NA,Missing
MUN14I,14,INBOUND,16,Murray/Bosworth/Mission,NA,NA,NA,Missing
MUN14I,14,INBOUND,17,Mission/Richland,NA,NA,NA,Missing
MUN14I,14,INBOUND,18,Leese/Mission/Highland,NA,NA,NA,Missing
MUN14I,14,INBOUND,19,Appleton/Mission,NA,NA,NA,Missing
MUN14I,14,INBOUND,20,Cortland/Mission,Mission & Cortland,3,Start,3
MUN14I,14,INBOUND,21,30th/Mission,Mission & 30th,2,End,2
MUN14I,14,INBOUND,22,29th/Mission,NA,NA,NA,2
MUN14I,14,INBOUND,23,Fair/Mission,NA,NA,NA,2
MUN14I,14,INBOUND,24,Mission/Coso,NA,NA,NA,2
MUN14I,14,INBOUND,25,26th/Mission,NA,NA,NA,2
MUN14I,14,INBOUND,26,24th/Mission,NA,NA,NA,2
MUN14I,14,INBOUND,27,Mission/23rd,NA,NA,NA,2
MUN14I,14,INBOUND,28,22nd/Mission,NA,NA,NA,2
MUN14I,14,INBOUND,29,Mission/21st,NA,NA,NA,2
MUN14I,14,INBOUND,30,Mission/20th,NA,NA,NA,2
MUN14I,14,INBOUND,31,Mission/19th,Mission & 13th,1,End,1
MUN14I,14,INBOUND,32,Mission/18th,NA,NA,NA,1
MUN14I,14,INBOUND,33,Mission/16th,NA,NA,NA,1
MUN14I,14,INBOUND,34,15th/Mission,NA,NA,NA,1
MUN14I,14,INBOUND,35,14th/Mission,Mission & 14th,2,Start,2
MUN14I,14,INBOUND,36,Duboce/Mission/Otis,NA,NA,NA,2
MUN14I,14,INBOUND,37,12th/Mission/Otis/South Van Ness,NA,NA,NA,2
MUN14I,14,INBOUND,38,Mission/11th,NA,NA,NA,2
MUN14I,14,INBOUND,39,Mission/9th,NA,NA,NA,2
MUN14I,14,INBOUND,40,8th/Mission,NA,NA,NA,2
MUN14I,14,INBOUND,41,Mission/7th,NA,NA,NA,2
MUN14I,14,INBOUND,42,6th/Mission,NA,NA,NA,2
MUN14I,14,INBOUND,43,5th/Mission,NA,NA,NA,2
MUN14I,14,INBOUND,44,Mission/4th,NA,NA,NA,2
MUN14I,14,INBOUND,45,3rd/Mission,NA,NA,NA,2
MUN14I,14,INBOUND,46,Mission/2nd,NA,NA,NA,2
MUN14I,14,INBOUND,47,Fremont/Mission,NA,NA,NA,2
MUN14I,14,INBOUND,48,Main/Market,NA,NA,NA,2
MUN14I,14,INBOUND,49,Steuart/Market,NA,NA,NA,2
MUN14I,14,INBOUND,50,Mission/Steuart,Steuart & Mission,1,Start,1
MUN14LI,14R,INBOUND,0,Delong/Junipero Serra,NA,NA,NA,Missing
MUN14LI,14R,INBOUND,3,Crocker/Mission/Flournoy,NA,NA,NA,Missing
MUN14LI,14R,INBOUND,4,Mission/Evergreen,NA,NA,NA,Missing
MUN14LI,14R,INBOUND,5,Sickles/Mission/Acton,NA,NA,NA,Missing
MUN14LI,14R,INBOUND,6,Lowell/Mission,NA,NA,NA,Missing
MUN14LI,14R,INBOUND,7,Mission/Geneva,NA,NA,NA,Missing
MUN14LI,14R,INBOUND,8,Persia/Mission,NA,NA,NA,Missing
MUN14LI,14R,INBOUND,9,Silver/Mission,NA,NA,NA,Missing
MUN14LI,14R,INBOUND,10,Mission/Richland,Mission & Richland,3,Start,3
MUN14LI,14R,INBOUND,11,30th/Mission,Mission & 30th,2,End,2
MUN14LI,14R,INBOUND,12,24th/Mission,NA,NA,NA,2
MUN14LI,14R,INBOUND,13,Mission/20th,NA,NA,NA,2
MUN14LI,14R,INBOUND,14,Mission/16th,Mission & 16th,2,Start,2
MUN14LI,14R,INBOUND,15,Mission/11th,Mission & 11th,1,End,1
MUN14LI,14R,INBOUND,16,8th/Mission,NA,NA,NA,1
MUN14LI,14R,INBOUND,17,5th/Mission,NA,NA,NA,1
MUN14LI,14R,INBOUND,18,Mission/4th,NA,NA,NA,1
MUN14LI,14R,INBOUND,19,3rd/Mission,NA,NA,NA,1
MUN14LI,14R,INBOUND,20,Mission/2nd,NA,NA,NA,1
MUN14LI,14R,INBOUND,21,Fremont/Mission,NA,NA,NA,1
MUN14LI,14R,INBOUND,22,Main/Market,NA,NA,NA,1
MUN14LI,14R,INBOUND,23,Steuart/Market,NA,NA,NA,1
MUN14LI,14R,INBOUND,24,Main/Mission,NA,NA,NA,1
MUN14LO,14R,OUTBOUND,0,Main/Mission,NA,NA,NA,Missing
MUN14LO,14R,OUTBOUND,2,Mission/1st,NA,NA,NA,Missing
MUN14LO,14R,OUTBOUND,3,Mission/2nd,NA,NA,NA,Missing
MUN14LO,14R,OUTBOUND,4,3rd/Mission,NA,NA,NA,Missing
MUN14LO,14R,OUTBOUND,5,Mission/4th,NA,NA,NA,Missing
MUN14LO,14R,OUTBOUND,6,5th/Mission,NA,NA,NA,Missing
MUN14LO,14R,OUTBOUND,7,8th/Mission,NA,NA,NA,Missing
MUN14LO,14R,OUTBOUND,8,Mission/11th,Mission & 11th,1,End,1
MUN14LO,14R,OUTBOUND,9,Mission/16th,Mission & 16th,2,Start,2
MUN14LO,14R,OUTBOUND,10,Mission/20th,NA,NA,NA,2
MUN14LO,14R,OUTBOUND,11,24th/Mission,NA,NA,NA,2
MUN14LO,14R,OUTBOUND,12,30th/Mission,Mission & 30th,2,End,2
MUN14LO,14R,OUTBOUND,13,Mission/Richland,Mission & Richland,3,Start,3
MUN14LO,14R,OUTBOUND,14,Silver/Mission,NA,NA,NA,3
MUN14LO,14R,OUTBOUND,15,Ruth/Mission,NA,NA,NA,3
MUN14LO,14R,OUTBOUND,16,Mission/Geneva,NA,NA,NA,3
MUN14LO,14R,OUTBOUND,17,Lowell/Mission,NA,NA,NA,3
MUN14LO,14R,OUTBOUND,18,Sickles/Mission/Acton,NA,NA,NA,3
MUN14LO,14R,OUTBOUND,19,Goethe/Mission/Evergreen,NA,NA,NA,3
MUN14LO,14R,OUTBOUND,20,Crocker/Mission/Flournoy,NA,NA,NA,3
MUN14LO,14R,OUTBOUND,21, / ,NA,NA,NA,3
MUN14LO,14R,OUTBOUND,22, / ,NA,NA,NA,3
MUN14LO,14R,OUTBOUND,23,Delong/Junipero Serra,NA,NA,NA,3
MUN14O,14,OUTBOUND,0,Mission/Steuart,NA,NA,NA,Missing
MUN14O,14,OUTBOUND,1,Mission/Spear,Steuart & Mission,1,Start,1
MUN14O,14,OUTBOUND,3,Mission/1st,NA,NA,NA,1
MUN14O,14,OUTBOUND,4,Mission/2nd,NA,NA,NA,1
MUN14O,14,OUTBOUND,5,3rd/Mission,NA,NA,NA,1
MUN14O,14,OUTBOUND,6,Mission/4th,NA,NA,NA,1
MUN14O,14,OUTBOUND,7,5th/Mission,NA,NA,NA,1
MUN14O,14,OUTBOUND,8,6th/Mission,NA,NA,NA,1
MUN14O,14,OUTBOUND,9,Mission/7th,NA,NA,NA,1
MUN14O,14,OUTBOUND,10,8th/Mission,NA,NA,NA,1
MUN14O,14,OUTBOUND,11,Mission/9th,NA,NA,NA,1
MUN14O,14,OUTBOUND,12,Mission/11th,Mission & 13th,1,End,1
MUN14O,14,OUTBOUND,13,12th/Mission/Otis/South Van Ness,NA,NA,NA,1
MUN14O,14,OUTBOUND,14,Otis/Duboce/McCoppin,NA,NA,NA,1
MUN14O,14,OUTBOUND,15,14th/Mission,Mission & 14th,2,Start,2
MUN14O,14,OUTBOUND,16,15th/Mission,NA,NA,NA,2
MUN14O,14,OUTBOUND,17,Mission/16th,NA,NA,NA,2
MUN14O,14,OUTBOUND,18,Mission/18th,NA,NA,NA,2
MUN14O,14,OUTBOUND,19,Mission/19th,NA,NA,NA,2
MUN14O,14,OUTBOUND,20,Mission/20th,NA,NA,NA,2
MUN14O,14,OUTBOUND,21,Mission/21st,NA,NA,NA,2
MUN14O,14,OUTBOUND,22,22nd/Mission,NA,NA,NA,2
MUN14O,14,OUTBOUND,23,Mission/23rd,NA,NA,NA,2
MUN14O,14,OUTBOUND,24,24th/Mission,NA,NA,NA,2
MUN14O,14,OUTBOUND,25,26th/Mission,NA,NA,NA,2
MUN14O,14,OUTBOUND,26,Mission/Coso,NA,NA,NA,2
MUN14O,14,OUTBOUND,27,Valencia/Mission,NA,NA,NA,2
MUN14O,14,OUTBOUND,28,29th/Mission,NA,NA,NA,2
MUN14O,14,OUTBOUND,29,30th/Mission,Mission & 30th,2,End,2
MUN14O,14,OUTBOUND,30,Cortland/Mission,Mission & Cortland,3,Start,3
MUN14O,14,OUTBOUND,31,Appleton/Mission,NA,NA,NA,3
MUN14O,14,OUTBOUND,32,Leese/Mission/Highland,NA,NA,NA,3
MUN14O,14,OUTBOUND,33,Mission/Richland,NA,NA,NA,3
MUN14O,14,OUTBOUND,34,Murray/Bosworth/Mission,NA,NA,NA,3
MUN14O,14,OUTBOUND,36,Mission/Trumbull,NA,NA,NA,3
MUN14O,14,OUTBOUND,37,Silver/Mission,NA,NA,NA,3
MUN14O,14,OUTBOUND,38,Francis/Mission,NA,NA,NA,3
MUN14O,14,OUTBOUND,39,Norton/Mission,NA,NA,NA,3
MUN14O,14,OUTBOUND,40,Ruth/Mission,NA,NA,NA,3
MUN14O,14,OUTBOUND,41,Mission/Onondaga,NA,NA,NA,3
MUN14O,14,OUTBOUND,42,Mission/Italy,NA,NA,NA,3
MUN14O,14,OUTBOUND,43,Mission/Geneva,NA,NA,NA,3
MUN14O,14,OUTBOUND,44,Mission/Mount Vernon,NA,NA,NA,3
MUN14O,14,OUTBOUND,45,Mission/Foote,NA,NA,NA,3
MUN14O,14,OUTBOUND,46,Lowell/Mission,NA,NA,NA,3
MUN14O,14,OUTBOUND,47,Morse/Whittier/Mission,NA,NA,NA,3
MUN14O,14,OUTBOUND,48,Mission/Lawrence,NA,NA,NA,3
MUN14O,14,OUTBOUND,49,Sickles/Mission/Acton,NA,NA,NA,3
MUN14O,14,OUTBOUND,50,Goethe/Mission/Evergreen,NA,NA,NA,3
MUN14O,14,OUTBOUND,51,Crocker/Mission/Flournoy,NA,NA,NA,3
MUN14O,14,OUTBOUND,52, / ,NA,NA,NA,3
MUN14SHORTI,14,INBOUND,0,Lowell/Mission,NA,NA,NA,Missing
MUN14SHORTI,14,INBOUND,2,Allison/Mission,NA,NA,NA,Missing
MUN14SHORTI,14,INBOUND,3,Mission/Geneva,NA,NA,NA,Missing
MUN14SHORTI,14,INBOUND,4,Mission/Italy,NA,NA,NA,Missing
MUN14SHORTI,14,INBOUND,5,Mission/Russia,NA,NA,NA,Missing
MUN14SHORTI,14,INBOUND,6,Persia/Mission,NA,NA,NA,Missing
MUN14SHORTI,14,INBOUND,7,Mission/Brazil,NA,NA,NA,Missing
MUN14SHORTI,14,INBOUND,8,Mission/Excelsior,NA,NA,NA,Missing
MUN14SHORTI,14,INBOUND,9,Silver/Mission,NA,NA,NA,Missing
MUN14SHORTI,14,INBOUND,10,Mission/Trumbull,NA,NA,NA,Missing
